Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
POVIZTRA-1.75 MG FLXT 3 ML1 PC COPACK 1 PC,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK,420008828,1,0.9098,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK,0.9098,True,705
GALACT GRANULES.ELACHI FLAVOUR- BIG SIZE BIG SIZE,GALACT GRANULES 10GM ELAICHI,421112986,1,0.7304,GALACT GRANULES 10GM ELAICHI,0.7304,True,706
ERIBULIN 0.5MG/ML INJ EMBREMMA VIAL,EMMDARA INJECTION 50MG/2ML,421112598,1,0.5151,EMMDARA INJECTION 50MG/2ML,0.5151,True,708
S NUMLO 5MG TAB. 20X15,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.9303,S-NUMLO 5 MG TABLET 1x15 T,0.9303,True,712
OSTERI INJ600 MCG+ NEEDLS 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7663,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7663,True,714
GALACT GRANULES CHOCOLATE FLV 200GM 1X200GM,GALACT GRANULES CHOCOLATE,421112647,1,0.8135,GALACT GRANULES CHOCOLATE,0.8135,True,716
OSTERI INJ.600MCG / 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9191,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9191,True,721
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,1,0.8127,NUCORIL - 5 TABLETS 1X30 T,0.8127,True,725
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,1,0.6384,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,0.6384,True,726
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,1,0.8127,NUCORIL - 5 TABLETS 1X30 T,0.8127,True,728
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,1,0.6384,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,0.6384,True,729
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.8323,VONADAY 600/300/300 MG TABLET 30s,0.8323,True,732
OROFER S INJ.5ML,OROFER S 100 INJECTION,421111537,2,0.7506,OROFER S INJECTION 2.5 ML,0.7985,True,733
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.8323,VONADAY 600/300/300 MG TABLET 30s,0.8323,True,735
AMARYL M F/TE 1MG,AMARYL M FORTE 1MG TABLET 10x15T,421113132,2,0.8095,AMARYL M 1MG TABLET 8x20T,0.8359,True,740
VYLDA-DM100/10/5,VYLDA DM 100/10/500 TABLET 1x10T,421112888,4,0.8769,VYLDA DM 100/5/1000 TABLET 1x10T,0.9046,True,742
GALACT LACTATION GRANULES ELA 400GM --,GALACT GRANULES 400GM ELAICHI,421113094,1,0.9018,GALACT GRANULES 400GM ELAICHI,0.9018,True,745
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8890,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8890,True,751
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.9511,EMPRI L 10/5MG TABLET 10x10T,0.9511,True,753
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8890,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8890,True,759
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.9511,EMPRI L 10/5MG TABLET 10x10T,0.9511,True,761
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,2,0.9629,VYLDA DM 100/10/500 TABLET 1x10T,0.9646,True,765
TEMSAN 20 MG TAB F35 15,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.8231,TEMSAN 20 MG TABLETS 10x15T,0.8231,True,766
OROFER XT TAB (15) 10X15,OROFER XT TABLET 1x15T,424442006,1,0.9561,OROFER XT TABLET 1x15T,0.9561,True,768
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.7915,GALACT GRANULES 400GM ELAICHI,0.7915,True,775
LASIX 40MG 11510,LASIX 40 MG TABLET 80x15T,421112913,1,0.7851,LASIX 40 MG TABLET 80x15T,0.7851,True,776
MATERNA HCG 10000 I.U 1s,MATERNA-HCG 10000 IU HP,491110367,1,0.9062,MATERNA-HCG 10000 IU HP,0.9062,True,782
AMARYL M1FORTE 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,1,0.7360,AMARYL M FORTE 1MG TABLET 10x15T,0.7360,True,784
ASOMEX 1.25mg TAB 15 sEMC449 15 s,ASOMEX 1.25 TABLETS 1X15T,424440754,1,0.8428,ASOMEX 1.25 TABLETS 1X15T,0.8428,True,788
ENCICARB 1K INJ 1 VIALEMC60 1 VIAL,ENCICARB INJECTION 100MG/2ML,422220078,2,0.6635,ENCICARB INJECTION 1K,0.7651,True,789
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,1,0.9765,ASOMEX 1.25 TABLETS 1X15T,0.9765,True,790
XGRAST 300MCG INJ 1 PFS 1 PFS,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.9618,XGRAST 300 MCG INJ 1 PFS,0.9618,True,794
SNUMLO 5 Mg 20BOX 15*2tab,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.7400,S-NUMLO 5 MG TABLET 1x15 T,0.7400,True,798
"FERIUM XT.TAB. 15""S",FERIUM XT TABLET 10x15T,424441955,1,0.8932,FERIUM XT TABLET 10x15T,0.8932,True,799
"S-NUMLO 2.5MG 15""S",S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9188,S-NUMLO 2.5 MG TABLET 1x15 T,0.9188,True,803
"EMLEVO -500 15""S",EMLEVO 500 TABLET 1 X 15 T,421113002,1,0.9059,EMLEVO 500 TABLET 1 X 15 T,0.9059,True,807
ASOMEX 2.5 MG 1X15AB Pcs,ASOMEX 2.5 MG TABLET 1X15T,424441736,1,0.8687,ASOMEX 2.5 MG TABLET 1X15T,0.8687,True,809
OSTERI INJ 600MG PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8963,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8963,True,812
CORDARONE 100X20X15 20 20,CORDARONE X 200 MG TABLET 10x15T,421112910,2,0.8222,CORDARONE 100 MG TABLET 20x15T,0.9197,True,822
CORDARONE TAB 200MG 15 S,CORDARONE X 200 MG TABLET 10x15T,421112910,1,0.8918,CORDARONE X 200 MG TABLET 10x15T,0.8918,True,823
GALOP PLUS 5X1X10 1*10,GALOP PLUS-5 TABLETS,421111957,2,0.8695,GALOP PLUS-10 TABLETS,0.8928,True,826
H)CARDACE 5MG 15S,CARDACE 5 MG TABLET 10x15T,421112893,1,0.8536,CARDACE 5 MG TABLET 10x15T,0.8536,True,836
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,837
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,838
ROSUVAS-EZ 10 TAB 110S 27553 10S,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,3,0.7658,ROSUVAS EZ 40 TABLET 1x10T,0.8240,True,842
MESALACURE TABLET 1.2GM NEW MRP Pcs.,MESALACURE TABLET  1.2GM,424440981,1,0.8214,MESALACURE TABLET  1.2GM,0.8214,True,853
OROFER XT 200M 200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.9264,OROFER XT + SUSPENSION 200 ML,0.9264,True,856
PROXYM ER300 TAB,PROXYM ER 200 TABLETS,424441015,1,0.7918,PROXYM ER 200 TABLETS,0.7918,True,858
OSTERI INJ.600MCG PENNET30 1 UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8140,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8140,True,861
VYLDA OD 10 TAB,VYLDA OD 50 TABLET 1X15T,421112490,2,0.7918,VYLDA OD 100 TABLETS,0.8602,True,863
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.6181,LOBACOR 10 TABLET,0.7307,True,864
ROSUVAS EZ 20 TAB-10STAB,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,1,0.9217,ROSUVAS EZ 20 MG TABLET 1x10T,0.9217,True,865
FERIUM CHEWABLE TABLET10-10 T,FERIUM CHEWABLE TABLETS 10X10 T,420000222,1,0.9814,FERIUM CHEWABLE TABLETS 10X10 T,0.9814,True,867
AMARYL.M.2MG.TAB 1*20,AMARYL 2MG TABLET 15x30T,421113128,5,0.7443,AMARYL M 2MG TABLET 8x20T,0.8959,True,873
OROFER FCM INJEMCURE VIAL,OROFER FCM  INJECTION 500MG/10ML,421111114,1,0.8532,OROFER FCM  INJECTION 500MG/10ML,0.8532,True,880
S NUMLO 5 4515,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.7688,S-NUMLO 5 MG TABLET,0.7802,True,894
DAONIL--M 10 15,DAONIL M TABLETS 1X15 T,421111961,1,0.8992,DAONIL M TABLETS 1X15 T,0.8992,True,901
OROFER XT  200ML SYP 1 1,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8594,OROFER XT + SUSPENSION 200 ML,0.8594,True,902
LASIX-40MG DPCO,LASIX 40 MG TABLET 80x15T,421112913,2,0.7156,LASIX 40 MG/4ML INJECTION,0.7192,True,903
NUMLO -AT TAB 10X15 15 TAB,NUMLO-AT TABLET 1X15 T,424441936,1,0.9189,NUMLO-AT TABLET 1X15 T,0.9189,True,912
S-NUMLO- 5 MG TAB 20X15 15 TAB,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.9550,S-NUMLO 5 MG TABLET 1x15 T,0.9550,True,914
TEMSAN - 20 TAB 10X15 15 TAB,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9283,TEMSAN 20 MG TABLETS 10x15T,0.9283,True,915
TEMSAN - 80-H TAB 10X15 15 TAB,TEMSAN 80 H TABLETS 1X15T,424441192,1,0.9279,TEMSAN 80 H TABLETS 1X15T,0.9279,True,918
ASOMEX - 2.5 MG TAB 20X15 15 TAB,ASOMEX 2.5 MG TABLET 1X15T,424441736,1,0.9022,ASOMEX 2.5 MG TABLET 1X15T,0.9022,True,921
ASOMEX - 5 MG TAB20X15 15 TAB,ASOMEX 5 MG TABLET 1x15T,424441737,1,0.8694,ASOMEX 5 MG TABLET 1x15T,0.8694,True,922
ASOMEX - D TAB10X15 15 TAB,ASOMEX D TABLET 1x15T,424440759,1,0.9280,ASOMEX D TABLET 1x15T,0.9280,True,923
ASOMEX -TM -5 TAB10X15 15 TAB,ASOMEX - TM 5 TABLETS 1X15T,421111383,1,0.9359,ASOMEX - TM 5 TABLETS 1X15T,0.9359,True,926
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,1,0.8998,EPITRIL 0.25 MG TABLET,0.8998,True,931
FULVIRA INJ2X5ML 2X5ML,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,1,0.8000,FULVIRA 250 MG INJ 2X5 ML PFS,0.8000,True,932
OSTERI INJ NEEDLEFREE 1PCS,OSTERI INJECTION NEEDLES,421111705,1,0.7698,OSTERI INJECTION NEEDLES,0.7698,True,936
OROFER XT DROPSH.S 15ML PCS,OROFER XT DROPS,424441717,1,0.8471,OROFER XT DROPS,0.8471,True,943
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8779,OROFER XT + SUSPENSION 200 ML,0.8779,True,944
OROFER FCM INJ 1K 10ML 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.8834,OROFER FCM  INJECTION 1K,0.8834,True,949
NUCORIL 5 TAB 1s,NUCORIL - 5 TABLETS 1X10 T,424441444,1,0.8653,NUCORIL - 5 TABLETS 1X10 T,0.8653,True,951
EMPRI L TAB 10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8973,EMPRI L 10/5MG TABLET 10x10T,0.8973,True,960
TEMSAN-80 H TAB 15*10,TEMSAN 80 H TABLETS 1X15T,424441192,1,0.9246,TEMSAN 80 H TABLETS 1X15T,0.9246,True,962
ATOREC-10 TAB D 1X10TAB,ATOREC 10 MG TABLET,424441079,2,0.7586,ATOREC - D 3 TABLETS,0.8144,True,975
EMSITA M SR 100/1000 1X10TAB,EMSITA M SR 100/1000 1X10T,421112596,1,0.9836,EMSITA M SR 100/1000 1X10T,0.9836,True,976
OSTERI INJ 600 MC,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8904,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8904,True,977
MATERNA HMG HP 1200IU 1 VIAL,MATERNA HMG HP 1200 IU/4ML MD,421112530,1,0.9014,MATERNA HMG HP 1200 IU/4ML MD,0.9014,True,979
XGRAST INJ 300MCG 1 1 VIAL,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.8416,XGRAST 300 MCG INJ 1 PFS,0.8416,True,980
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.9203,PROXYM ER 200 TABLETS 15 T,0.9203,True,984
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.9203,PROXYM ER 200 TABLETS 15 T,0.9203,True,986
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.6181,LOBACOR 10 TABLET,0.7307,True,990
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.6181,LOBACOR 10 TABLET,0.7307,True,991
GALACT LACTATION GRANULES CHOCOLATE 400GM,GALACT GRANULES 400 GM CHOCOLATE,421112876,1,0.9382,GALACT GRANULES 400 GM CHOCOLATE,0.9382,True,992
VYLDA-DM100/1000/11X10TAB,VYLDA DM 100/5/1000 TABLET 1x10T,421112639,2,0.8936,VYLDA DM 100/10/1000 TABLET 1x10T,0.8971,True,995
PROXYM ER 300 TAB 1X15PRT 1X15,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8733,PROXYM ER 200 TABLETS 15 T,0.8733,True,1007
SYLATE T 500MG TAB. 1X10 EE179 1*10,SYLATE T 500 TABLET,421110143,1,0.8692,SYLATE T 500 TABLET,0.8692,True,1011
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,1,0.8998,EPITRIL 0.25 MG TABLET,0.8998,True,1015
NUMLO TM 5 TAB15NOS 15 NOS,NUMLO-TM 5 TABLETS 1X15 T,421112128,1,0.8975,NUMLO-TM 5 TABLETS 1X15 T,0.8975,True,1017
COGNITRAC 60MG INJ 60MG 1X60MG,COGNITRAC L INJECTION,421112018,2,0.6818,COGNITRAC INJECTION 60 MG,0.8581,True,1026
EPITRIL.25MG TAB 1X10,EPITRIL 0.25 MG TABLET,424441023,1,0.9320,EPITRIL 0.25 MG TABLET,0.9320,True,1031
EFNOCAR MX 40/25 T 10T,EFNOCAR-T 40/40  TABLET,427770323,2,0.8197,EFNOCAR-MX 40/25 TABLETS,0.9226,True,1035
GALACT GRANULE ELAICHI,GALACT GRANULES 10GM ELAICHI,421112986,1,0.8297,GALACT GRANULES 10GM ELAICHI,0.8297,True,1036
POVIZTRA FLXT .25MG 1PC,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,420008825,1,0.8894,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.8894,True,1044
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,1,0.7719,AMARYL M FORTE 1MG TABLET 10x15T,0.7719,True,1045
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,1,0.7719,AMARYL M FORTE 1MG TABLET 10x15T,0.7719,True,1046
TEMSAN H 40/12.5 15 S,TEMSAN H TABLETS 1X15 T,424441191,1,0.8460,TEMSAN H TABLETS 1X15 T,0.8460,True,1057
XILIA-M2FORTE 10 S,XILIA - M 2 FORTE TABLETS,421110949,1,0.7134,XILIA - M 2 FORTE TABLETS,0.7134,True,1058
TEMSAN 80MG TAB 10X15EMC030 10*15,TEMSAN 80 MG TABLETS 10x15T,424441700,1,0.8566,TEMSAN 80 MG TABLETS 10x15T,0.8566,True,1062
S-NUMLO 5 20X15EMC082 20*15,S-NUMLO 5 MG TABLET 1x15 T,424441204,1,0.8714,S-NUMLO 5 MG TABLET 1x15 T,0.8714,True,1066
VYLDA 50 2X15EMC198 2 *15,VYLDA TABLETS 1X15 T,424441803,2,0.7822,VYLDA OD 50 TABLET 1X15T,0.7826,True,1077
TEMSAN CT 40/6.25 10*10S,TEMSAN CT-6.25 TABLETS,421111887,2,0.8675,TEMSAN CT 40/12.5 MG TABLET 10X10,0.8838,True,1081
OSTERI INJ 600 PEN 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9429,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9429,True,1084
OROFER CAP 15S,OROFER S INJECTION 2.5 ML,421111536,7,0.6039,OROFER DROPS 15 ML,0.7708,True,1085
LAZID TAB60 60 Pcs,LAZID TABLETS,491110216,3,0.6982,LAZID N TABLET 1x60 T,0.8071,True,1087
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.7915,GALACT GRANULES 400GM ELAICHI,0.7915,True,1093
GALACT POW 400GM 1X400G,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8024,GALACT GRANULES 400GM ELAICHI,0.8024,True,1096
FERIUM 1 K INJ.,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.7897,FERIUM INJECTION 1K (1GM/20ML),0.7897,True,1099
TAPIC EM 4.5 GM INJECTION,TAPICEM 4.5 GM INJECTION,421112178,1,0.8340,TAPICEM 4.5 GM INJECTION,0.8340,True,1104
CARDACE 1.255X2X15 10 S,CARDACE 1.25 MG TABLET 10x15T,421112890,1,0.9068,CARDACE 1.25 MG TABLET 10x15T,0.9068,True,1105
CARDACE AM 55X2X15BOX 10 S,CARDACE AM 5 TABLET 10x15T,421112896,2,0.8281,CARDACE AM 10 TABLET 10x15T,0.8419,True,1106
TEMSAN 20 MG TAB 10X15T,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9727,TEMSAN 20 MG TABLETS 10x15T,0.9727,True,1107
CONSIUM 100 INJ UNSURE,CONSIUM 100(CARMUSTINE FOR INJ.),490310001,2,0.6995,DILUENT FOR CONSIUM 100 INJ,0.8238,True,1111
ASOMEX-TM510X1515 S,ASOMEX - TM 5 TABLETS 1X15T,421111383,2,0.7684,ASOMEX - TM TABLETS 1X15T,0.8285,True,1122
OROFER XT5X1515 S,OROFER XT TABLET 1x15T,424442006,1,0.8888,OROFER XT TABLET 1x15T,0.8888,True,1125
PROXYM ER30010X1515 S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8489,PROXYM ER 200 TABLETS 15 T,0.8489,True,1127
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,1,0.9765,ASOMEX 1.25 TABLETS 1X15T,0.9765,True,1145
SYLATE-T 500MG TAB 10 T,SYLATE T 500 TABLET,421110143,1,0.9168,SYLATE T 500 TABLET,0.9168,True,1147
OROFER XT BOX,OROFER XT TABLET,424441704,1,0.8969,OROFER XT TABLET,0.8969,True,1150
TEMSAN-80 TAB 115(1015)BOX,TEMSAN 80 MG TABLETS 10x15T,424441700,2,0.6515,TEMSAN 80 MG. TABLETS,0.6525,True,1151
OROFER XT PLUSSYP 200ML.,OROFER XT + SUSPENSION 200 ML,424441225,1,0.9043,OROFER XT + SUSPENSION 200 ML,0.9043,True,1156
CISCURE VIAL. 1X1,CISCURE 0.25 MG INJECTION,421110589,1,0.7004,CISCURE 0.25 MG INJECTION,0.7004,True,1163
A-BEC 300MG 30TAB,A-BEC TABLET 60T,424441967,2,0.7122,A BEC 300 MG TABLET 30s,0.8835,True,1177
SYLATE- T 500MG TAB 1*10,SYLATE T 500 TABLET,421110143,1,0.9324,SYLATE T 500 TABLET,0.9324,True,1183
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,2,0.9629,VYLDA DM 100/10/500 TABLET 1x10T,0.9646,True,1186
LAZID TAB 1X60 60,LAZID TABLETS,491110216,3,0.7552,LAZID N TABLET 1x60 T,0.8589,True,1189
SYLATE-T 500MG TAB 10 S 1s,SYLATE T 500 TABLET,421110143,1,0.9047,SYLATE T 500 TABLET,0.9047,True,1190
ASOMEX AT 2.5MG TAB 15 S 1s,ASOMEX AT 2.5 MG TABLET 1X15T,424441921,1,0.8872,ASOMEX AT 2.5 MG TABLET 1X15T,0.8872,True,1193
TEMSAN 20MG TAB 15 S 1s,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.8795,TEMSAN 20 MG TABLETS 10x15T,0.8795,True,1199
NUMLO-D 5MG. TAB. 15S,NUMLO-D 5 TABLET,424440017,3,0.8550,NUMLO-D 5 TABLET 1x15 T,0.9224,True,1206
SYLATE T 500MG 1X10S T PCS,SYLATE T 500 TABLET,421110143,1,0.9019,SYLATE T 500 TABLET,0.9019,True,1217
S NUMLO 2.5 TAB 10X15,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9281,S-NUMLO 2.5 MG TABLET 1x15 T,0.9281,True,1220
S.NUMLO 2.5 TAB 1X1 1X15TAB,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9123,S-NUMLO 2.5 MG TABLET 1x15 T,0.9123,True,1231
DAPAGZA M 10/1000 \*10 TA,DAPAGZA M10/1000 1X10T,421112563,2,0.8780,DAPAGZA M 5/1000 1X10T,0.9301,True,1235
TEMSAN CT 40/6.25 10,TEMSAN CT-6.25 TABLETS,421111887,2,0.8815,TEMSAN CT 40/12.5 MG TABLET 10X10,0.8862,True,1239
ASOMEX D 5 TAB 1515 S,ASOMEX D 5 TABLET 1x15T,424440760,1,0.8918,ASOMEX D 5 TABLET 1x15T,0.8918,True,1240
OSTERI 600MCJ INJ 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9451,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9451,True,1245
TEMSANH 1*15,TEMSAN H TABLETS 1X15 T,424441191,1,0.7675,TEMSAN H TABLETS 1X15 T,0.7675,True,1247
OSTERI INJ.600 MCG 2.4 ML PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9549,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9549,True,1249
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,1260
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,1,0.8758,ASOMEX LT TABLET 1X15T,0.8758,True,1261
HOSIT FCM 750MG.INJ 15ML,HOSIT FCM INJECTION 750MG/15ML,421112708,1,0.9376,HOSIT FCM INJECTION 750MG/15ML,0.9376,True,1271
FITJOINT TABS 10S,FITJOINT CAPSULES,421112131,1,0.7036,FITJOINT CAPSULES,0.7036,True,1276
ENCICARB INJ 1 K,ENCICARB INJECTION 1K,422220233,1,0.8505,ENCICARB INJECTION 1K,0.8505,True,1279
PROXYM ER300MGTAB 1X15T,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8188,PROXYM ER 200 TABLETS 15 T,0.8188,True,1280
ACEGABA 100 MG 10X15,ACEGABA 100 CAPSULE 1 X 15 C,424442056,1,0.9000,ACEGABA 100 CAPSULE 1 X 15 C,0.9000,True,1281
PROXYM ER 300 MG 1*15,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8982,PROXYM ER 200 TABLETS 15 T,0.8982,True,1288
FERIUM 1K INJ 1VAIL,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.8174,FERIUM INJECTION 1K (1GM/20ML),0.8174,True,1289
OROFER-S- INJ 10 ML 1*10ML,OROFER S 200 INJECTION 10 ML,421111388,1,0.7727,OROFER S 200 INJECTION 10 ML,0.7727,True,1296
ASOMEX LT 2.5MG TAB 1X15TA,ASOMEX LT TABLET 1X15T,424440761,1,0.9178,ASOMEX LT TABLET 1X15T,0.9178,True,1297
FLAWLIZO MICRO0.04 PU 15GM,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,421113049,1,0.8410,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,0.8410,True,1302
NUMLOM 5 TAB,NUMLO TABLET 2.5 MG,420000458,6,0.6237,NUMLO-TM 5 TABLETS,0.7395,True,1306
OSTERI INJ.600MCG /2.4MLPEN 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.9824,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.9824,True,1308
FLAWLIZO MICRO 0.04PUMP PACK 15GM,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,421113085,1,0.9372,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,0.9372,True,1313
TEMSAN-20 10X15,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9460,TEMSAN 20 MG TABLETS 10x15T,0.9460,True,1320
OROFER FCM 1K INJ 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.9110,OROFER FCM  INJECTION 1K,0.9110,True,1321
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8349,TEMSAN BS 2.5/40 TABLET 10x10T,0.8690,True,1324
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8349,TEMSAN BS 2.5/40 TABLET 10x10T,0.8690,True,1328
CONSIVAS F TAB. 10S STR,CONSIVAS-F TABLETS,421111971,1,0.7991,CONSIVAS-F TABLETS,0.7991,True,1333
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8779,OROFER XT + SUSPENSION 200 ML,0.8779,True,1334
VYLDA D / TAB S,VYLDA D100/5 TABLET 1X10T,421112572,3,0.7675,VYLDA TABLET,0.8011,True,1340
VYLDA OD TAB S,VYLDA OD 50 TABLET 1X15T,421112490,3,0.7389,VYLDA OD 100 TABLETS,0.8193,True,1341
EMILDAP 10 TAB 15 S(EMI1T) 15 S,EMILDAP S 10/100 TABLET 1X10T,421112866,4,0.6581,EMILDAP 10 TABLET 1X15T,0.8606,True,1345
ASOMEX 2.5MG TAB. 15S(ASO25T) 15S,ASOMEX 1.25 TABLETS 1X15T,424440754,3,0.8039,ASOMEX 2.5 MG TABLET 1X15T,0.8559,True,1351
OSTERI INJ 1UNIT(OSTI) 1UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7213,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7213,True,1354
CARDACE 2.50X10 15S,CARDACE 2.5 MG TABLET 10x15T,421112892,1,0.8986,CARDACE 2.5 MG TABLET 10x15T,0.8986,True,1356
FULVIRA INJECTION 2X5ML PF 1X1,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,2,0.7629,FULVIRA INJECTION 1X5 ML PFS,0.9274,True,1364
