PRODUCT_NAME,MATERIAL DESCRIPTION
CONSIVAS-F 1S,CONSIVAS-F TABLETS
ETS-100 CAP 10 S,ETS-100 CAPSULE
RTCARB INJ 1 S,RTCARB INJ 100 mcg/ml
DYDROFEM SR 10TAB,DYDROFEM SR 20 TABLET 3X10T
DENLAFAX-50 MG TAB 10*10,DENLAFAX-50 TABLETS
FERRI D INJ,FERRI - D INJECTION PFS (100MG/2ML)
SPEGRA TABLETS 30S,SPEGRA TABLETS 1X30T
OROFER-Cap 10s,OROFER CAPSULES
FCMO 750 INJ 1,FCMO  INJECTION 750MG/15ML
EMLEVO 500mg TAB 15s(8000091 15s,EMLEVO 500 TABLET
ACEGABA NT 200 --,ACEGABA NT 200 TABLET 1x15T
EPITRIL BETA 0.5 TAB. 1S,EPITRIL BETA 0.5 TABLETS
GALOP 5MG TAB. 10S.,GALOP 5 MG TABLETS
CARDACE PROTECT 2.5 TAB,CARDACE PROTECT 2.5 TABLET 10x10T
POVIZTRA FLXT 1.7MG 3ML 1 PC,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK
EOPTAL 600MG TAB 1 X10,EOPTAL 600 TABLETS 10X10 T
FERIUM CHEW 100 10 TA,FERIUM CHEWABLE 100 MG TAB 10X10 T
EMTAF 25MG TAB 30s,EMTAF TABLETS 1X30T
SYLATE T 500 MG TAB. 1*10,SYLATE T 500 TABLET
PAUSE SR TAB 10 TAB,PAUSE-SR TABLETS
PREGANZA - D 75/30MG 10CA STRIP,PREGANZA D 75/30 CAPSULE 1x10C
CARDACE AM 2.5MG. 1X15,CARDACE AM 2.5 TABLET 10x15T
EMGRA-D TABS. 1*21,EMGRA D TABLETS
TEMSAN 80 TAB. 15 S,TEMSAN 80 MG TABLETS 10x15T
EMILDIP TRIO 500 10S,EMILDAP TRIO TABLET 1x10T
DINOR TABLET 15 TAB,DINOR TABLET
ESGABA-150 1*10,ESGABA 150 CAPSULES
TRIOLVANCE 20 TAB 10S,TRIOLVANCE 20 TABLETS
NUMLO TMH TABS 10TABS 10TABS,NUMLO TMH TABLET 10x10T
PAXOTUS 37.5 MG TAB 10T,PAXOTUS 37.5 MG TABLET
SYLATE INJ 1 *2ML,SYLATE INJECTION 2 ML
PANZOLE TAB 10s,PANZOLE TABLETS
PAUSE INJ 1  S,PAUSE INJECTION
DARBECURE 40INJ 1 PFS Pcs,DARBECURE 40 INJECTION PFS
BESTFORM M TAB 1X10 TAB,BESTFORM M TABLET 1x10T
EMANZEN 5 TABLET 10 NOS 10 NOS,EMANZEN TABLET 5 MG
ACEGABA ME 300 Tab. 10 s,ACEGABA ME 300 TABLETS
ACEGABA NT 400 10,ACEGABA-NT 400 TABLET 1x15T
LOMOH 60 MG INJECTION PFS,LOMOH 60 MG INJECTION
CEASTRA XL 200 CAPS 7S,CEASTRA XL-200 CAPSULES
EMPRI L10/5 MG 1*10,EMPRI L 10/5MG TABLET 10x10T
MOFILET 500MG TAB 10S,MOFILET 500 MG TABLET
NUMLO-AT. 10 TAB,NUMLO-AT TABLET
XONETUM 1.5GM 1,XONETUM  INJECTION 1.5 GM
ENCICARB 750MG/15ML INJ. 115ML,ENCICARB INJECTION 750MG/15ML
VYLDA M 500 10 S,VYLDA-M 500 TABLETS  1X10 T
EMTOFA 5MG TABS 10S,EMTOFA 5 MG TABLET 10x10T
ZORDIL 4MG TAB 10TAB,ZORDIL 4 TABLET
METPURE - H TAB 1010 10 TAB,METPURE H TABLET
OROFER CAP (1X10) 10,OROFER CAPSULES
EMSTAR 500 MG --,EMSTAR 500 MG INJ 1 VIAL
TELSITE 20MG TABS 1X15,TELSITE 20 MG TABLET 10x15T
EPITRIL 0.25MG TABS 10 s,EPITRIL 0.25 MG TABLET
TEMSAN-80 MG TABS --,TEMSAN 80 MG. TABLETS
EMSIDON 40MG TAB 10TAB,EMSIDON - 40 TABLET
FERIUM XT TABLET 1*15,FERIUM XT TABLET 10x15T
POVIZTRA FLXT 0.25 1.5,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK
VYLDA DM 100/10/500 TAB 10S NOS,VYLDA DM 100/10/500 TABLET 1x10T
HOSIT XT CAPS. 10S,HOSIT-XT CAPSULES
UREADERM MOIST CREAM 20% 100GM,UREADERM MOISTURIZING CREAM 20% 100GM
EMLUZ LOTION 1PH,EMLUZ LOTION
NUSAR AM 2.5 TAB 10,NUSAR AM TABLET
EMCOR CREAM 1X15,EMCOR CREAM 15 GM
VYLDA M 850MG TAB,VYLDA-M 850 TABLETS 1X10 T
MIRCERA 100MCG/0.3ML INJECTION 1X1PFS,MIRCERA 100MCG/0.3ML INJECTION
ASOMEX 5 20 *15,ASOMEX 5 MG TABLET 1x15T
EMGLOBULIN INJ 100 ML,EMGLOBULIN INJECTION
EMPRI - L 25 / 5 Tab 10s,EMPRI L 25/5MG TABLET 10x10T
ACEGABA NT 400 1*15,ACEGABA-NT 400 TABLET 1x15T
TEMSAN CT TAB 10 AB 10,TEMSAN CT TABLETS
PAXOTUS PLUS-25MG TA 1X10,PAXOTUS PLUS 25 CAPSULE
PREPIXA 5 TAB 10S,PREPIXA 5 TABLET 1X10T
CONSIVAS GOLD 10 M 10 CAP,CONSIVAS GOLD 10 CAPSULES 10X10C
Nucarnit F Tab.,NUCARNIT-F TABLET
EMSITA-GM 50/2/500MG T/ 10,EMSITA GM 50/2/500 TABLET 10x10T
ASOMEX-(2.5)Tab 2X15 s,ASOMEX 2.5 MG TABLET 1X15T
FLAWLIZO ACNE SPOT C 30ML,FLAWLIZO ACNE SPOT CORRECTOR 30ML
ASOMEX 2.5 MG ATB,ASOMEX AT 2.5 MG TABLET
ARMOD-50 TAB 15 S,ARMOD-50 TABLETS 1 x 15 T
TEMSAN 20MG STRIP OF 10 TABLETS,TEMSAN 20 MG. TABLETS
CONSIVAS EZ 20 T 10S,CONSIVAS EZ 20 TABLET
NUSAR ATN TABS,NUSAR ATN TABLET
EMPRI M 12.5/1000,EMPRI M 12.5/1000MG TABLET 10x10T
EMLUZ LOTION 15ML --,EMLUZ LOTION
AUGPEN 1GM BID 10s,AUGPEN 1 GM BID TABLETS
CLEXANE 40MG 1X5,CLEXANE 40MG/0.4ML INJECTION
HOSIT PLUS CAP+ 10 CAP,HOSIT PLUS CAPSULES
Galact Powder 400gm,GALACT GRANULES 400GM ELAICHI
VELIX 40 VIAL,VELIX 40
FM ACTIVE=TAB 1*10,FM ACTIVE TABLETS
VICARE CLEAR CAPSULES,VICARE CLEAR CAPSULE 1x10C
NEUAL-10 TAB 10s,NEUAL-10 TABLETS
GALOP PLUS 10MG TAB 10 TAB,GALOP PLUS-10 TABLETS
EMLINZ D 5/10MG TAB 10S 10s,EMLINZ D 5/10 TABLET 1x10T
OROFER XT PLUS SUSU 200ML,OROFER XT + SUSPENSION 200 ML
CARMADA 200MG 7S 7S,CARMADA 200 MG TABLET 10x7T
VINTOR - 10000 INJ PFS . 1 PFS,VINTOR 10000 IU INJ 1 PFS
EMLEVO XR 500 TAB 110,EMLEVO - XR 500 TABLET
NUACE TABLETS 1X30TAB 1X30TAB,NUACE TABLETS 1x30 T
METPURE AM2.5MG TA 110S,METPURE AM 2.5 TABLETS
PAUSE 500 MG TAB 10,PAUSE TABLET 500 MG
OSTERI 600MCG/2.4ML PEN PFS PCS,OSTERI INJ.600MCG /2.4MLPEN DEVICE
DOLOSPAN INJ AMP,DOLOSPAN INJECTION
FCMO 750MG INJ. 15 ML,FCMO  INJECTION 750MG/15ML
GLIPSOV M 20/1000M 1X15TAB,GLIPSOV-M TABLET 20/1000 10X15T
DAPAGZA L10/5 TAB 1X10,DAPAGZA L 10/5 TABLET 10x10T
VICARE CLEAR CAPS 10S --,VICARE CLEAR CAPSULE 1x10C
OLMEGARD CT 40 TAB 10TAB,OLMEGARD CT 40 TABLET
SA V HF 100TAB 0,SAV HF 100 TABLET 6x10T
ENCICARB 100 ING 2ML,ENCICARB INJECTION 100MG/2ML
EMSITA M 50/500MG TAB 10S 10s,EMSITA M 50/500 1X10T
POVIZTRA 1.7 MG FLEXTOUCH PEN 3ML,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK
EMLEVO-XR 500MG TAB 10 S,EMLEVO - XR 500 TABLET
EMGRAST 300MCG INJ.,EMGRAST 300 MCG INJ 1 PFS
VYLDA-M 500 TAB 10T,VYLDA-M 500 TABLETS  1X10 T
SOLGLO ADVANCE FACE WASH 100GM 100GM,SOLGLO ADVANCE FACEWASH 100G
XILIA 2 MG,XILIA - 2 TABLETS
ABICLOR INJECTION 0,ABICLOR INJECTION
EMTREO 5 G INJ (TREOS 1,EMTREO INJECTION 5g/vial -DOMESTIC
EMSITA-MP TAB 10S 10s,EMSITA MP TABLET 10x10T
COBAFORTE INJ 1ML 1ML,COBAFORTE INJECTION
FCMO 750MG INJ 15ML,FCMO  INJECTION 750MG/15ML
EMSITA TRIO TAB 1X10,EMSITA TRIO TABLET 1x10T
CORDARONE-X 200 TAB. 1X15,CORDARONE X 200 MG TABLET 10x15T
EFCURE 200 MG TABLETS,EFCURE 200 MG TABLET 30s
INAREM 500 INJ 1VIAL,INAREM 500 MG INJECTION
CARDACE METO 2.5MG TABS,CARDACE METO 2.5 TABLET 10x10T
INSTGRA TAB 90 TAB,INSTGRA TABLET 1X90 T
CORDARONE INJ 6*3MLPCS,CORDARONE 150 MG/3ML INJECTION
TUMSUP DROP 1*10TAB,TUMSUP DROPS 30 ML
GALACT GRANULES CHOCO XEN,GALACT GRANULES CHOCOLATE
TEMSAN-TRIO 40 TAB 10S,TEMSAN TRIO 40 TABLET 1X10T
NUMLO TM 110,NUMLO-TM TABLETS
METPURE H 50 TAB. 10 S,METPURE H 50 TABELTS
ASOMEX TM 2.5 1*15 TAB,ASOMEX - TM TABLETS 1X15T
TARGOCID 200MG VIALS,TARGOCID 200 MG/3 ML INJECTION
ATOREC-ASP-10MG-CAPS,ATOREC ASP CAPSULES
TELSITE TAB 80MG 1*10,TELSITE 80 MG TABLET 10x15T
SPEGRA TAB 30S 30S,SPEGRA TABLETS 1X30T
EMILDAP TRIO FORTE TAB 3,EMILDAP TRIO FORTE TABLET 1x10T
EMILDAP TRIO tablets. 10s,EMILDAP TRIO TABLET 1x10T
AMARYL M-2 FORTE TAB 10X15 TAB,AMARYL M FORTE 2MG TABLET 10x15T
MIGITUS 5MG TAB 10-S,MIGITUS 5 TABLET
EXDUO 50 MG TAB 10 s,EXDUO 50 TABLET 1x10T
CARDACE 10MG 10,CARDACE 10 MG TABLET 10x15T
BACTICURE 250 TAB 10;S,BACTICURE 250 TABLETS 1X10 T
DAONIL M TABS 10s,DAONIL M TABLETS
PROCTOSEDYL BD CREAM 20GM-20gm,PROCTOSEDYL BD CREAM
EMLEVO 500 TAB 1X15,EMLEVO 500 TABLET
PROXYM-TH 8MG TAB 10S,PROXYM TH8 TABLET 1x10T
VYLDA D100/5 TAB. 10,VYLDA D100/5 TABLET 1X10T
COGNITRAC L INJ 5X10 ML 1,COGNITRAC L INJECTION
DAPAGZA 10 10,DAPAGZA 10 TABLET 1X15T
ACEGABA 100MG CAPSULES 10CAP,ACEGABA 100 CAPSULE
CONSIVAS - GOLD 20 10 S,CONSIVAS GOLD 20 CAPSULES 10X10C
VYLDA D100/5TAB 1*10TAB,VYLDA D100/5 TABLET 1X10T
ERIBILIN 0.5 INJ 1,EMBREMMA INJECTION 0.5MG/ML
EMSITA M 50/500 3X10,EMSITA M 50/500 1X10T
MOFILET 250 TAB 1*10,MOFILET 250 TABLETS
EMPERIDE M 1 10S,EMPERIDE M 1 TABLET
POVIZTRA FLXT 0.25M1*1*5ML,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK
VYLDA OD 100 TAB 15*TAB,VYLDA OD 100 TABLETS
TEMSAN 40 TAB. 1*15,TEMSAN 40 MG TABLETS 10x15T
INDUZ CAPS 0,INDUZ CAPSULES
AMARYL MV1 TAB (15TAB),AMARYL MV 1MG TABLET 10x15T
ATOREC GOLD 1010X10 C 1OS,ATOREC GOLD 10  10X10 C
ATOREC 40 10*10,ATOREC 40 MG TABLET
VYLDA D 100/5 1*10,VYLDA D100/5 TABLET 1X10T
CARDACE AM 2.5MG 1*10TAB,CARDACE AM 2.5 TABLET 10x15T
COBAFORTE-OD 10CAP 10C,COBAFORTE OD CAPSULES
DARBECURE 40 MCG PFS 1PFS,DARBECURE 40 INJECTION PFS
ASOMEX-5 10 TAB,ASOMEX 5 MG TABLET
I SILNAFIL 25 1*10,SILNAFIL TABLETS
FERRI 100 INJ. 5ML.,FERRI-100 INJECTION
FM-ACTIVE TAB 10-S,FM ACTIVE TABLETS
LOBACOR-5 10X10T,LOBACOR 5 TABLET
OROFER XT BOTTLE OF 30 TABLETS,OROFER XT TABLET 1X30 T
ROSUVAS-EZ 40 TAB 10S,ROSUVAS EZ 40 TABLET 1x10T
DAPAGZA M 10/100010T,DAPAGZA M10/1000 1X10T
SUSTINEX 60 TAB10S 0,SUSTINEX-60 TABLETS
STROCOZ PLUS TAB 10 --,STROCOZ PLUS TABLET
ATOREC-D3 10S,ATOREC - D 3 TABLETS
IMINORAL-100 5 CAP,IMINORAL - 100 CAPSULES
INFEN 25 TAB 1*10,INFEN - 25 TABLETS
HOSIT D 3 TABLET 10 TAB,HOSIT D3 TABLET
NEUAL 5 TAB 10 TAB,NEUAL-5 TABLETS
BIRYTH-150MG 10TAB,BIRYTH-150 TABLETS
MVISTA CAPS 10S 10CAP,MVISTA CAPSULES
SPEGRA TAB (AF) 30S,SPEGRA TABLETS 1X30T
CELOL+ TAB 1*10T,CELOL+ TABLET
Numlo TM Tab 15s 15 s,NUMLO-TM TABLETS 1X15 T
PAXOTUS PLUS 25 1X10,PAXOTUS PLUS 25 CAPSULE
ORLE 60 TAB 1*10,ORLE-60 CAPSULES
Galact granules 200 g,GALACT GRANULES
CETAPIN V 0.3MG TAB. 15s,CETAPIN V 0.3MG TABLET 10x15T
Celol-Xt Cap 10S,CELOL XT CAPSULES
GALOP PLUS - 10 10,GALOP PLUS-10 TABLETS
TEMSAN H 80 15 TAB,TEMSAN 80 H TABLETS 1X15T
DILPRA OD 500 TAB 0,DILPRA OD 500 TABLETS
CETAPIN XR 1000MG 10 TAB,CETAPIN XR 1000MG TABLET 10x15T
I ENCICARB 500 MG INJ VIAL,ENCICARB INJECTION 500MG/10ML
SOLGLOW FACE WASH 100ML,SOLGLO ADVANCE FACEWASH 100G
CELOL + TAB 110,CELOL+ TABLET
EFCURE - 600 30S,EFCURE 600 MG TABLET 30s
NUCARNIT 500 10-TABLETS 10,NUCARNIT 500 TABLET
NUMLO D 5 1X15 10X15,NUMLO-D 5 TABLET 1x15 T
PROXYM XT TABS 15S,PROXYM XT TABLET 1X15T
OROFER-CAP,OROFER CAPSULES
FERIUM INJ 500MG .,FERIUM INJECTION 500MG
E-TEL 80 TAB 10;S,E - TEL 80 TABLETS
CETAPIN V 0.3 15TAB,CETAPIN V 0.3MG TABLET 10x15T
GLIPSOV M TABLET 20/500 10TAB,GLIPSOV-M TABLET 20/500 10X15T
E-TEL H TAB 10s,E - TEL H TABLETS
ATOREC-D3 TABS 10TAB,ATOREC - D 3 TABLETS
ASOMEX LT TABLET 15 NOS 15 NOS,ASOMEX LT TABLET 1X15T
FIXATE-200 1*4,FIXATE - 200  4 T
EMSITA TRIO FORT TAB 10 T,EMSITA TRIO FORTE TABLET 1x10T
EMTOFA XR 11MG 10 S,EMTOFA XR 11MG TABLET 1x10T
EMSITA TRIO TAB 10S.,EMSITA TRIO TABLET 1x10T
LAZID N TAB 30 TAB,LAZID N TABLET
FERIUM XT+ SYP200ML,FERIUM XT + SUSPENSION 200 ML
NUSAR-AM TAB 10*5,NUSAR AM TABLET
XILIA 1 TAB 10 S,XILIA - 1 TABLETS
ATOREC-10 D3 TAB. 10TAB 10TAB,ATOREC - D 3 TABLETS
MATERNA HMG HP 300 1VAIL,MATERNA HMG HP 300 IU/1ML PFS
EMSITA M 50/1000 TAB 10 TAI,EMSITA M 50/1000 1X10T
ACEGABA NT 100MG TAB 15 TAE,ACEGABA NT 100 TABLET 1x15T
ACEGABA ME 300 --,ACEGABA ME 300 TABLETS
EMPRI (L)10/5 MG TAB 10S,EMPRI L 10/5MG TABLET 10x10T
INSTGRA 30T 30T,INSTGRA TABLET 1X30T
ZILARBI 40 TABLETS,ZILARBI 40 TABLET
EOPTAL 150 10,EOPTAL 150 MG TABLET 10X10
RUPARIB 300MG 60 TAB,RUPARIB 300 TABLET 1X60T
ACEGABA-NT 400 TAB115,ACEGABA-NT 400 TABLET 1x15T
LOMOH 40 MG INJ 1PFS,LOMOH 40 MG INJECTION
ATOREC 40 TABS 10TABS 10TABS,ATOREC 40 MG TABLET
M-NEM INJ 1INJ,M-NEM 1000 MG INJECTION
EXHEP 40 INJ 40INJ,EXHEP 40 INJECTION
PAUSE XT TAB 10S.,PAUSE-XT TABLETS
POVIZTRA FLEX 2.4MG 3M 3ML,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK
VYLDA-D 100/10 110,VYLDA D100/10 TABLET 1X10T
CEASTRA SB 130MG 10 S,CEASTRA SB 130MG 10X10C
EMDYDRO SR 20 TAB 1*10,EMDYDRO SR 20 TABLET 3x10T
HOSIT D3 . . TAB 10 S,HOSIT D3 TABLET
FLOFRE 20 TAB 1X10,FLOFRE 20 MG TABLETS
EMLEVO 500 TAB 1 *10,EMLEVO 500 TABLET
Galop 20 mg Tab 10 S,GALOP 20 MG TABLETS
EMILDAP S 10/100 TAB 10 S,EMILDAP S 10/100 TABLET 1X10T
XILIA TRIO 2MG TAB 110,XILIA TRIO - 2 TABLETS
SKIZOTUS 200 TAB 10S,SKIZOTUS - 200 TABLETS
BIRYTH 50 TAB 1X10,BIRYTH-50 TABLETS
PAUSE-XT-TAB 1X10,PAUSE-XT TABLETS
XONETUM 1.5GM INJ VAIL,XONETUM  INJECTION 1.5 GM
CARDACE-AM 5 TAB 10 S,CARDACE AM 5 TABLET 10x15T
NUCARNIT AMP 1S,NUCARNIT INJECTION
ENCICARB 1K 1 VIAL 0,ENCICARB INJECTION 1K  
EMSULIDE-P TAB 10s,EMSULIDE P TABLET 10
EPITRIL 0.50 1X10TAB PCS,EPITRIL 0.5 MG TABLET
ATOREC ASP TAB 10TAB,ATOREC ASP CAPSULES
EPITRIL 0.5 MG TABLET 10 T,EPITRIL 0.5 MG TABLET
CARDACE 10 TABLETS 15S,CARDACE 10 MG TABLET 10x15T
LAZID N 1X60 T,LAZID N TABLET 1x60 T
FULL 24 INJECTION. 1ML,FULL 24 INJECTION
GLUCOFREE CHOCONUT BAR 1,GLUCOFREE 40 GM BAR CHOCO NUT FLAVOUR
ZILARBI 80MG TABS 10 S,ZILARBI 80 TABLET
DABITRA 110MG CAPS,DABITRA 110 CAPSULES
C TAX O FORTE 100 MG DRY SYRUP 50 ML,C-TAX O FORTE DRY SYRUP 50 ML
Enhemo MF Tab 10 s 10 S,ENHEMO MF TABLET 5x10T
METPURE AM 5MG TAB 10T,METPURE AM 5 TABLETS
VICAREI-CREAM 30GM,VICARE I-CREAM 1x30GM
METPURE-ST TAB,METPURE-ST TABLETS
SOLGLO ADVANCE FA100gm,SOLGLO ADVANCE FACEWASH 100G
VINGRAF 1MG CAPSULES 110,VINGRAF 1 MG CAPSULE 6X10
TEMSAN 20MG TABS 15S,TEMSAN 20 MG TABLETS 10x15T
TELSITE H80 TAB. 10 S,TELSITE H 40 TABLET 10x10T
AQUAOAT MOISTURIZI 100GM,AQUAOAT MOISTURIZING CREAM 100 GM
ELIGARD 22.5,ELIGARD 22.5 MG INJECTABLE SUSPENSION
ATOREC-ASP CAPSULES 1X10,ATOREC ASP CAPSULES
NUCARNIT-F 10,NUCARNIT-F TABLET
LACTACYD-100ML BOT,LACTACYD  1X100 ML
DENMAB INJ 60 MG/ML 1 PFS,DENMAB INJECTION 60 MG/ML
XILIA TRIO-1 TAB 10s,XILIA TRIO - 1 TABLETS
CETAPIN XR 500MGI22921 1*20,CETAPIN XR 500MG TABLET 11x20T
UREADERM 10% MOIST.CREAM 100GM,UREADERM MOISTURIZING CREAM 10% 100GM
LASIX 4ML AMP 1AMP,LASIX 40 MG/4ML INJECTION
PROCTOSEDYL BD C,PROCTOSEDYL BD CREAM
CINEZ-D TAB 10*1,CINEZ-D TABLETS
NORMET Tablets * 10s,NORMET TABLETS
PROCTOSEDYL-BD CREAM20 GM. --,PROCTOSEDYL BD CREAM
VINGRAF 1 CAPS. 10 S.,VINGRAF 1 MG CAPSULE 6X10
ZOMITAC DSR CAP 10S,ZOMITAC - DSR 10 CAPSULES
ZUVISTON TAB 10,ZUVISTON TABLETS 
TEMSAN 20MG TABLET 15S,TEMSAN 20 MG TABLETS 10x15T
FLAWLIZO MICRO 0.025% GEL 15GM,FLAWLIZO MICRO 0.1% GEL 15GM TUBE PACK
GALOP PLUS 10MG TAB NRX 10TAB,GALOP PLUS-10 TABLETS
EMCUTIX CANZORB POWDER 100 GM 100 GM,CANZORB POWDER 100 GM
EMTOFA 5MG TAB 10*10,EMTOFA 5 MG TABLET 10x10T
CETAPIN XR 1000MG TAB 115,CETAPIN XR 1000MG TABLET 10x15T
EMDIP T 80 10,EMDIP T80 TABLET
VIREM R 60S,VIREM - R TABLETS 1X60 T
NUMLO-TM TAB 1*10TAB,NUMLO-TM TABLETS
CARMADA 200 TAB 10 S,CARMADA 200 MG TABLET 10x7T
EMANZEN-5 TAB 110,EMANZEN TABLET 5 MG
ACEGABA 100MG CAPSULES,ACEGABA 100 CAPSULE
TARGOCID I.M./I.V. 200M,TARGOCID 200 MG/3 ML INJECTION
PREPIXA 2.5 TAB 1X10,PREPIXA 2.5 TABLET 1X10T
GALOP PLUS-10 TAB 10s,GALOP PLUS-10 TABLETS
CARMADA 100MG TABS 10 S --,CARMADA 100 MG TABLET 10x10T
NUMLO-TM-2.5 TAB. 1X10,NUMLO-TM TABLETS
ASOMEX D 5MG TAB NP 15TAB,ASOMEX D 5 TABLET 1x15T
TARGOCID 400MG DRY VIAL OF 1 POWDER FOR INJECTION,TARGOCID 400 MG INJECTION
XILIA-M 1 TAB 10S,XILIA - M 1 TABLETS
GAZIN-40 TAB,GAZIN 40 TABLET
OROFER XT DHA KIT 2S 2 S,OROFER XT-DHA 7 X 1 KIT
EMILDAP 5 15S,EMILDAP 5 TABLET 1X15T
LOMOH 60MG INJ 1,LOMOH 60 MG INJECTION
VYLDA OD 50 --,VYLDA OD 50 TABLET 1X15T
VYLDA OD 50 TAB 15 T,VYLDA OD 50 TABLET 1X15T
DENLAFAX 100 10 S,DENLAFAX-100 TABLETS
EMPRI L 25/5MG TABLET 10TAB,EMPRI L 25/5MG TABLET 10x10T
PREGANZA-ME TABS,PREGANZA ME TABLET
EMDIP 16 TAB --,EMDIP-16 TABLETS 10X10 T
CONSIVAS GOLD 20MG 10S,CONSIVAS GOLD 20 CAPSULES 10X10C
OLMEGARD H 40 MG TAB 1X10TAB,OLMEGARD H 40 TABLET
PROXYM TH8 TAB 10  S,PROXYM TH8 TABLET 1x10T
NUCARNIT 500MG TAB. 10S --,NUCARNIT 500 TABLET
TEMSAN 80MG 1*10,TEMSAN 80 MG. TABLETS
CELOL D3 PLUS TABLET 15S,CELOL D3 + TABLETS
DINOR 2mg 15TAB,DINOR TABLET
EMANZEN-D OIT 30GRM,EMANZEN D OINTMENT 30 GM
ASOMEX D TABLETS.,ASOMEX D TABLET
AQUA OAT LOTION 1X100GM,AQUAOAT MOISTURIZING LOTION 100ML
PROXYM ER 200 15TAB 15TAB,PROXYM ER 200 TABLETS 15 T
OLANEX - F TAB.,OLANEX  F TABLETS
EMILDAP TRIO FORTE TABLET 10 10S,EMILDAP TRIO FORTE TABLET 1x10T
CARMADA 50MG TAB 10 S,CARMADA 50 MG TABLET 10x10T
CORDARONE 100 M 1*10,CORDARONE 100 MG TABLET 20x15T
FITJOINT GM 110,FITJOINT GM TABLETS
CORDARONE 150MG 1*3ML,CORDARONE 150 MG/3ML INJECTION
PROXYM TH8 TAB 10 TAB,PROXYM TH8 TABLET 1x10T
ASOMEX 2.5 TAB 10/15 S,ASOMEX 2.5 MG TABLET 1X15T
LACTACYD WASH 100 ML,LACTACYD  1X100 ML
MAGNISTA INJ. 2ML,MAGNISTA INJECTION
ACEGABA ME 30010 T,ACEGABA ME 300 TABLETS
ATOREC GOLD 20 10TAB,ATOREC GOLD 20  10X10 C
FERIUM XT TABLET 15T,FERIUM XT TABLET 10x15T
MOFILET 500MG 1X10TAB,MOFILET 500 MG TABLET
METPURE XL 25 10 S,METPURE XL 25 TABLET
LASIX TAB 40 MG,LASIX 40 MG TABLET 80x15T
CETAPIN-V 0.2,CETAPIN V 0.2MG TABLET 10x15T
CETAPIN-V 0.3 TAB 15s,CETAPIN V 0.3MG TABLET 10x15T
CONSIVAS F 10/160 TABS. 10 S.,CONSIVAS-F10/160 TABLETS
ARMOD-150 10S,ARMOD-150 TABLETS
TEMSAN AM 2.5 TAB 15 S,TEMSAN - AM TABLETS 1X15T
VYLDA DM 100/10/1000TAB 1X10 TAB,VYLDA DM 100/10/1000 TABLET 1x10T
MOFILET 500MG TAB 1X10,MOFILET 500 MG TABLET
EMSITA-D 50/5 1X10,EMSITA D 50/5 TABLET 1X10T
GALOP LS 10 TAB,GALOP LS - 10 TABLET
TEMSAN BS 40/2.5 T 1X10,TEMSAN BS 2.5/40 TABLET 10x10T
EMILDAP-TRIO FORTE 10S,EMILDAP TRIO FORTE TABLET 1x10T
CELOL MAX CAP 10-S,CELOL MAX CAPSULES
ASOMAX OH TAB. 10S,ASOMEX OH TABLETS
NUCARNIT-F Tab 10 S,NUCARNIT-F TABLET
CEASTRA-100 CAP --,CEASTRA 100 CAPSULES 10X10C
TELSITE 20 TAB 15T,TELSITE 20 MG TABLET 10x15T
CARDACE PROTECT 5/10 MG 1*10 PCS,CARDACE PROTECT 5 TABLET 10x10T
GALACT GRANULES KESA 200GR,GALACT GRANULES KESAR
NUCORIL 5 MG 30 S,NUCORIL - 5 TABLETS 1X30 T
VINCORT 30MG TAB. 10S,VINCORT TABLET 30 MG
EXDUO 100 10 TAB,EXDUO 100 TABLET 1x10T
EXHEP 20 INJ VAIL,EXHEP 20 INJECTION
ACEGABA NT 400TAB 10 S .,ACEGABA-NT 400 TABLET 1x15T
TEMSAN H 1X15TAB,TEMSAN H TABLETS 1X15 T
FITJOINT MAX 10C,FITJOINT MAX CAPSULES
Hosit D3 Tab 10s,HOSIT D3 TABLET
VONAVIR TABLET,VONAVIR 600/200/300 MG TABLET 30s
NUSAR AMH TAB 1*10T,NUSAR AMH TABLETS
FERIUM XT-DHA KIT 1KIT,FERIUM XT DHA 7X1 KIT
Ferium XT Tablet 15 s 15 s,FERIUM XT TABLET 10x15T
CLEXANE 40MG/0.4ML INJ PS10 M24 1PACK,CLEXANE 40MG/0.4ML INJECTION
ASOMAX TM 10TAB,ASOMEX - TM TABLETS
NUMLO-M 5 TAB 10 S,NUMLO-M 5 TABLETS 10X10 T
ASOMEX-AT-5MG TAB 10S,ASOMEX AT 5 MG TABLET
METPURE TEL 40 TABLET 10,METPURE TEL 40 TABLETS
TEMSAN 80 CT 10S --,TEMSAN 80 CT TABLETS
NUCARNIT 330 MG TAB,NUCARNIT TABLET 10
VELDIX-P 10TAB,VELDIX P TABLETS
ASOMEX D TAB 15S 1,ASOMEX D TABLET 1x15T
TICAPLAT 60 10 TAB,TICAPLAT 60 TABLET
TARGOCID 400 Vial,TARGOCID 400 MG INJECTION
TEMSAN LNC 12.5 TAB 10s(8000( 10s,TEMSAN LNC 12.5 TABLET 10x10T
FERIUM XT TAB UNSURE,FERIUM XT TABLET
HOSIT PLUS CAP 10CAP Pcs,HOSIT PLUS CAPSULES
