PRODUCT_NAME,MATERIAL DESCRIPTION
BENFOSULES ~CAPSULE,BENFOSULES CAPSULES
DYDROEVA SR 30MG TAB 10S,DYDROEVA SR 30 TABLET 3x10T
DENLAFAX 50 TAB 10,DENLAFAX-50 TABLETS
EMSITA M -50/500MG TAB 1X10,EMSITA M 50/500 1X10T
BENFOSULES 10,BENFOSULES CAPSULES
HAMSYL 3750 IU/ML INJ 1S,HAMSYL
INDUZ CAPSULES 1,INDUZ CAPSULES
OSTERI 600MCG/2.4PI INJ,OSTERI INJ.600MCG /2.4MLPEN DEVICE
METPURE-AM 2.5MG TAB 10 S .,METPURE AM 2.5 TABLETS
ARMOD 50 TAB 1X15,ARMOD-50 TABLETS 1 x 15 T
TELSITE 20 10*15,TELSITE 20 MG TABLET 10x15T
CELOL CAP 15S 15C,CELOL CAPSULES
IMINORAL-25CAP 5S,IMINORAL - 25 CAPSULES
PREGANZA D50/20 CAPS 10CAPS,PREGANZA D 50/20 CAPSULE 1x10C
EPITRIL 0.5 TAB 10TABSTRIP,EPITRIL 0.5 MG TABLET
ROSUVAS EZ 4,ROSUVAS EZ 40 TABLET 1x10T
CARDACE 10MG 10T,CARDACE 10 MG TABLET 10x15T
emSITA M 50/1000 10s,EMSITA M 50/1000 1X10T
BEAT HF 7.5 TAB 10 T,BEAT HF 7.5 TABLETS 10X10 T
PANSALVE DSR 10TAB,PANSALVE DSR CAPSULES
CARDACE-METO 5MG 1*10 TAB,CARDACE METO 5 TABLET 10x10T
ENHEMO 500 INJECTION 5X5ML,ENHEMO 500 INJECTION 5x5ML
FERIUM XT DROP 15ml,FERIUM XT DROPS 15 ML
ATOREC 40MG 10TAB 10TAB,ATOREC 40 MG TABLET
SOFRAMYCIN SKIN CREAM,SOFRAMYCIN SKIN CREAM 20 GMS
SCUD 500MG INJ.,SCUD 500 MG INJECTION
LAMOTEM 100 MG TAB 10S,LAMOTEM 100 MG TABLET
OLANEX F TABS 10 S,OLANEX  F TABLETS
CLEXANE-40 INJ VIAL,CLEXANE 40MG/0.4ML INJECTION
ACEGABA GRS 600 TAB --,ACEGABA GRS 600 TABLET 10T
ENVIRA INJ inj,ENVIRA INJECTION
ASOMEX LTH 5 1X10,ASOMEX LTH 5 TABLETS
TELSITE 80 15S 15S,TELSITE 80 MG TABLET 10x15T
EMSITA MSR 100/500 110 --,EMSITA M SR 100/500 TABLET 1x10T
METPURE-H 25MG/12.5MG TAB,METPURE H TABLET
OSTERI INJ. NEEDLES 30 NO,OSTERI INJECTION NEEDLES
APRUV F TAB 10 TAB,APRUV F TABLET
TEMSAN AM TAB TP,TEMSAN - AM TABLETS
Dolospan P Fizz 10S,DOLOSPAN P FIZZ TABLET
TEMSAN BS 5/40 TAB 1X10,TEMSAN BS 5/40 TABLET 10x10T
ZORESO TABS 10S 10S,ZORESO TABLET
METPURE H TABLET 10 S,METPURE H TABLET
NORMET XT SUSP 30ML 30ML,NORMET XT SUSPENSION 30 ML
NUSAR-AM TAB 10 S STR,NUSAR AM TABLET
GAZIN-M TAB. 1X10,GAZIN M TABLET
METPURE TEL 40 TAB 10S 20,METPURE TEL 40 TABLETS
CORDARONE X 200 TAB 1X15 TAB,CORDARONE X 200 MG TABLET 10x15T
PAUSE-500 TAB 10 TAB,PAUSE TABLET 500 MG
OLMEGARD - 20 10S,OLMEGARD 20 TABLET
POVIZTRA FLXT 0.5MG 1.5ML IN 1,POVIZTRA FLXT 0.5MG 1.5ML 1PC COPACK
ACEGABA NT 400MG TAB 10 S,ACEGABA-NT 400 TABLET 1x15T
EMPRI M 12.5/1000TAB 1X10TAB,EMPRI M 12.5/1000MG TABLET 10x10T
TEMSAN 40MG TABS 10TAB 1X10TAB,TEMSAN 40 MG. TABLETS
MEGVAL 50 INJ 1*50MG,MEGVAL INJECTION
NEVIR ER 30T BOT,NEVIR ER TBALET 1 X 30
EXAFIB 20MG TAB 14T,EXAFIB 20 TABLETS
ATOREC GOLD 20MG 1*10,ATOREC GOLD 20  10X10 C
XILIA TRIO-1MG TAB 10,XILIA TRIO - 1 TABLETS
ZILARBI CT 12.5 10 TAB,ZILARBI CT 12.5 TABLETS
OROFER S 200 MG INJ 10 ML 10 ML,OROFER S 200 INJECTION 10 ML
Asomex-Tm 5 Tab 10S,ASOMEX - TM 5 TABLETS
EMDYDRO SR 30 TAB 130,EMDYDRO SR 30 TABLET 3x10T
XILIA 1 TAB 10T,XILIA - 1 TABLETS
STROCOZ PLUS TAB 10TABS,STROCOZ PLUS TABLET
CARDACE1.25 MG 15S 15TAB.,CARDACE 1.25 MG TABLET 10x15T
ACEGABA GRS 300 TA 10,ACEGABA GRS 300 TABLET 10T
BLAXTIN 20MG TAB. 10,BLAXTIN 20 MG TABLET 10T
CARMADA 100mg TAB 10 TAB,CARMADA 100 MG TABLET 10x10T
ASOMEX 2.5 1X15,ASOMEX 2.5 MG TABLET 1X15T
EMSITA MP TABS. 10S,EMSITA MP TABLET 10x10T
GALOP PLUS 10 BILL 110TAB,GALOP PLUS-10 TABLETS
ORLE 120 CAP. 10S,ORLE-120 CAPSULES
CONSIVAS-10 1*10,CONSIVAS 10 MG TABLET 10X10
EMSITA-50 MG TAB 10S,EMSITA 50 MG TABLET 1X10T
EXAFIB 10 110 PCS,EXAFIB 10 TABLET
HOSIT FE 1X10 TAB,HOSIT FE TABLETS
IMINORAL-25 CAP 1X5,IMINORAL - 25 CAPSULES
TEMSAN 80MG TAB 110,TEMSAN 80 MG. TABLETS
PAUSE-XT TAB. 10,PAUSE-XT TABLETS
CARDACE H 10 TAB 10 TAB,CARDACE H 10 TABLET 10x15T
EMPERIDE M 1 1*10TAB,EMPERIDE M 1 TABLET
NEUAL 20 10S,NEUAL -20 TABLETS
PREGANZA 50 MG 10,PREGANZA 50  CAPSULES
TICAPLAT 90 TABS 10TABS 10TABS,TICAPLAT 90 TABLETS 6X10 T
ORLE 120 MG CAP 1*10,ORLE-120 CAPSULES
STROCOZ - 2 INJ. INJ,STROCOZ-2 INJECTION
PREGANZA-ME TABS 1X10,PREGANZA ME TABLET
TORPIZA 50 MG 10 TAB,TORPIZA 50 TABLET
NEYTA TAB 10S 10S,NEYTA TABLETS
EMSITA-TRIO TABLET 110,EMSITA TRIO TABLET 1x10T
UNMET TABLET 10X10T 10 T 10S,UNMET TABLET 10x10T
SYLATE T 500TAB 110,SYLATE T 500 TABLET
AQUAOAT CREAM 100GM GM,AQUAOAT MOISTURIZING CREAM 100 GM
FULL 24 TABLET 10 CAP,FULL 24 TABLET
RITUXEM - 100 MG INJ. 1 VIAL,RITUXEM 100MG/10ML
PAXOTUS PLUS 12.5 CAP 10s,PAXOTUS PLUS 12.5 MG CAPSULES
Emlinz M 500 Tab 10*,EMLINZ M 500 TABLET 1x10T
CONSIVAS GOLD 20MG CAP 10 S,CONSIVAS GOLD 20 CAPSULES 10X10C
GONLIX 200 TAB,GONLIX 200 MG TABLET 10x10T
GAZIN-40MG TAB 10TAB,GAZIN 40 TABLET
VICARE TOTAL CAPSU 10C,VICARE TOTAL CAPSULE 1x10C
SYLATE T 1*10,SYLATE T TABLET
EMSITA D 100/10MG TAB 10TAB,EMSITA D 100/10 TABLET 1X10T
TELSITA H 40 TAB 10S,TELSITE H 40 TABLET 10x10T
DOLOSPAN P TABLET 10 tab,DOLOSPAN P TABLETS
FERIUM INJ 1K MG 1 VIAL,FERIUM INJECTION 1K (1GM/20ML)
TEMSAN-80H TAB 15S/10S,TEMSAN 80 H TABLETS 1X15T
VYLDA OD 100 TAB. 10S.,VYLDA OD 100 TABLETS
FCMO 750MG/15ML INJ VIAL,FCMO  INJECTION 750MG/15ML
GABA HOSIT TABLET 1*10GM(EE271) 1*10GM,GABA HOSIT TABLET
EMSITA GM 2/50/1000 10,EMSITA GM 50/2/1000 TABLET 10x10T
JUSTSLEEP 3 10S 10 S,JUSTSLEEP 3 MG TABLET
GALACT GRANULES ELAICHI 400GM PCS,GALACT GRANULES 400GM ELAICHI
VELIX 40 VIAL 1,VELIX 40
EMSITA 50 MG TAB 10TAB PCS,EMSITA 50 MG TABLET 1X10T
PROCTOSEDYL BD CR.(20GM) 30GM,PROCTOSEDYL BD CREAM
TEMSAN-LNC-12.5 10S,TEMSAN LNC 12.5 TABLET 10x10T
BACTILEM 1.5 GM INJ VIAL,BACTILEM  1.5 GM INJECTION
EMILDAP S 10/100 MG TAB 1*10,EMILDAP S 10/100 TABLET 1X10T
COGNITRAC 60mg INJECTION 1VIAL,COGNITRAC INJECTION 60 MG
PACENORM 200 TAB 10 TAB,PACENORM 200 TABLET
ASOMEX 1.25MG TAB 15S --,ASOMEX 1.25 TABLETS 1X15T
PAUSE 500,PAUSE TABLET 500 MG
CORDARONE-100-TAB 1*15,CORDARONE 100 MG TABLET 20x15T
CITAFINE 1 GM 11,CITAFINE 1 GM INJ 1 VIAL
LIPIRA 10 TAB,LIPIRA 10 TABLET
PROCTOSEDYL BD CREAM 20GR,PROCTOSEDYL BD CREAM
TEMSAN 20mg TAB,TEMSAN 20 MG. TABLETS
METPURE XL 12.5 TAB 110 s,METPURE XL 12.5 TABLET
SKIZOTUS 100 *10T,SKIZOTUS - 100 TABLETS
NUSAR 25 MG TAB 10S,NUSAR 25 MG TABLET
GONLIX 150 MG 10 S,GONLIX 150 MG TABLET 10x10T
SEMI DAONIL TAB. 10.,SEMI DAONIL TABLETS
ATOREC ASP CAP 10S 10,ATOREC ASP CAPSULES
MATERNA DEPOT 3.75MG 1 VIAL,MATERNA DEPOT 3.75 MG INJECTION
EMSITA- TRIO 10TAB,EMSITA TRIO TABLET 1x10T
EMCOLZ 0.5 MG TAB 110,EMCLOZ 0.5MG TABLET
BPTITE 2.5Mg TAB 10S,BPTITE - 2.5 TABLETS  10X3X10 T
GALOP - 5 MG 10s,GALOP 5 MG TABLETS
RACIPER L CAP 10,RACIPER -L CAPSULES
VITANOVA-SACH 1X4,VITANOVA SACHET 4X1 GM
ELAXIM INJ 40,ELAXIM 40 MG INJ 1 VIAL
EMLEVO-500 1X15,EMLEVO 500 TABLET
EPITRIL 2MG TAB 10 S,EPITRIL 2 MG TABLET
GONLIX TAB 110,GONLIX 150 MG TABLET 10x10T
CORDARONE X 200MG TA 1 X 15,CORDARONE X 200 MG TABLET 10x15T
FERIUM 500MG/10ML 1 S,FERIUM INJECTION 500MG
TEMSAN CT 40/12.5MG TAB. 1X10,TEMSAN CT 40/12.5 MG TABLET 10X10
TEMSAN-H TABS 1x15,TEMSAN H TABLETS 1X15 T
SOFOCURE V 60TA,SOFOCURE - V TABLET
VINGRAF 0.25MG CAP11*10,VINGRAF 0.25 MG CAPSULE
GALACT LACTATION GRANULES 400G CHOCOLATE FLAV,GALACT GRANULES 400 GM CHOCOLATE
ASOMEX 5MG TABLETS 15 S,ASOMEX 5 MG TABLET 1x15T
EMSITA 100MG TAB 10 S 0,EMSITA 100 MG TABLET 1X10T
AURICH-200MG CAP 10CAP,AURICH - 200 CAPSULES
SEVCAR-800,SEVCAR-800 TABLETS
CONSIVAS GOLD 20 10s,CONSIVAS GOLD 20 CAPSULES 10X10C
Unmet Tab,UNMET TABLET 10x10T
DENMAB INJ 60MG 1AMP,DENMAB INJECTION 60 MG/ML
HOSIT L TAB -10S,HOSIT L TABLET
ARMOD 150 TAB 10X15,ARMOD-150 TABLETS 1 x 15 T
XGRAST INJ-300,XGRAST  INJ 300 MCG/0.5 ML PFS
SCUD INJ 250 VIAL,SCUD 250 MGINJECTION
FADVIC-40 TAB 1*10,FADVIC - 40 TABLETS
NORMET SUSP 30ML 1*30ML,NORMET SUSPENSION 30 ML
PREPIXA 5 TABLET 1X10,PREPIXA 5 TABLET 1X10T
TELSITE 20MG TAB 10 TAB,TELSITE 20 MG TABLET 10x15T
VYLDA D100-10 10,VYLDA D100/10 TABLET 1X10T
TAMLET 4MG TAB 10S 10S,TAMLET 4 CAPSULES
ENDYDRO TAB 10 S,EMDYDRO TABLET 1X10T
VYLDA D 100/5 TAB 10S 10,VYLDA D100/5 TABLET 1X10T
TARGOCID INJ 200 MG 1 VIAL,TARGOCID 200 MG/3 ML INJECTION
POVIZTRA FLXT2.4MG1 PEN,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK
BENFOSULES CAP 1*10,BENFOSULES CAPSULES
GLUCOFREE PANI PURI 40GM,GLUCOFREE BAR PANI PURI FLAV.40GM
TEMSAN BS 40/2.5 MG 10S,TEMSAN BS 2.5/40 TABLET 10x10T
CARDACE AM 2.5 TA 15,CARDACE AM 2.5 TABLET 10x15T
CETAPIN V 0.3MG 15 S 1X15,CETAPIN V 0.3MG TABLET 10x15T
CINEZ - D 15S 15S,CINEZ-D TABLETS 1 X 15 T
ATOREC-EZ-TABS 1*10,ATOREC EZ TABLET
PLAVIX TABLETS 14T.,PLAVIX 75 MG TABLET 10x14T
VYLDA 50 15TAB 15TAB,VYLDA TABLETS 1X15 T
FERIUM 750MG/15ML,FERIUM INJECTION 750MG/15ML
CELOL XT CAP 10 CAP,CELOL XT CAPSULES
ATOREC GOLD-20MG CAP 10S,ATOREC GOLD 20  10X10 C
EXELON TTS 13.3MG PATCH PATCH,EXELON TTS 13.3 MG 1X15 PATCHES
EMANZEN-TBR TAB 10S,EMANZEN TBR TABLETS 1X10 T
CALONAT-D3 TAB 3S,CALONAT - D 3 TABLETS
S-NUMLO 2.5MG 1*10S,S-NUMLO 2.5 MG TABLET
CONSIVAS CV 20 CAP 10S 0,CONSIVAS CV 20 CAPSULE 10x10C
ASOMEX AT 2.5 Tab. 15 s,ASOMEX AT 2.5 MG TABLET 1X15T
S-NUMLO 2.5 MG 10S --,S-NUMLO 2.5 MG TABLET
CLEXANE 40MG.INJ.2X4ML-1s,CLEXANE 40MG/0.4ML INJECTION
FERIUM XT SUSP 1X200ML,FERIUM XT + SUSPENSION 200 ML
CLAMOB IV INJ,CLAMOB IV 1.2GM
MOFILET (S) 180MG TAB 10S,MOFILET S 180 TABLET
STABOSE-INSTA 0.3 TAB. 1X10,STABOSE INSTA  0.3 TABLET
ACEGABA-NT 400 15 S,ACEGABA-NT 400 TABLET 1x15T
Q-TAX CV TAB. 10S,Q - TAX CV TABLETS
TEMSAN-20 CV 10TAB,TEMSAN - 20 CV TABLETS
EXHEP CORT 3ML --,EXHEP PEN CARTRIDGE 300MG/3ML
NUSAR ATN TAB (1X10) 10 TAB,NUSAR ATN TABLET
AMARYL-MV-2mg,AMARYL MV 2MG TABLET 10x15T
DILPRA OD 250 TAB 10*10,DILPRA OD 250 TABLETS
EMFOLIC INJ 10ml,EMFOLIC INJECTION
OROFER-5 100 IND 5ML,OROFER S 100 INJECTION
ACEGABA ME 300MG TAB --,ACEGABA ME 300 TABLETS
EMILDAP S 10/100TAB 110,EMILDAP S 10/100 TABLET 1X10T
INFEN - P 10S,INFEN P TABLETS
VYSOV-M 50/500MG TAB 10S,VYSOV-M 50MG/500MG TABLETS
MATERNA HCG HP 10000 1 S,MATERNA-HCG 10000 IU HP
ATPURE 25 TAB 110,ATPURE TABLET 25 MG
BPMET XL 25 MG 10S,BPMET XL 25 TABLET
EMPRI 25MG TAB 10S 10s,EMPRI 25MG TABLET 10x10T
ENHEMO 1000MG 10ML,ENHEMO 1000 INJECTION 1x10ML
OPTICON MD 10 TAB 10s,OPTICON-MD 10 TABLETS 10X10 T
TEMSAN-20 TAB. 10S,TEMSAN 20 MG. TABLETS
VYLDA DM 100/10/500MG TAB 1*10TAB,VYLDA DM 100/10/500 TABLET 1x10T
DENLAFAX 50 TAB 10TAB,DENLAFAX-50 TABLETS
ACEGABA 400 CAPS-10s,ACEGABA 400 CAPSULE
FERIUM XT + SUSP. 200ML,FERIUM XT + SUSPENSION 200 ML
VYSOV 50mg TAB 14S,VYSOV 50 MG TABLETS
TRELAGLIP-25 4,TRELAGLIP 25 MG TABLET[2 STRIPS X 2 TAB]
ATOREC GOLD 20 MG CAPS 10 CAI,ATOREC GOLD 20  10X10 C
ENZUTA 40MG CAPSULE 28 TAB,ENZUTA CAPSULE
ATPURE-25MG TAB 1X14,ATPURE TABLET 25 MG
EPOFER 10000 IU 1,EPOFER 10 000 - PFS
LASIX 40 MG TABLETS 15S,LASIX 40 MG TABLET 80x15T
ATOREC 80mg TAB 10 S,ATOREC 80 MG TABLET
ASOMEX M TAB 10S 10X10,ASOMEX - M  TABLETS 10X10 T
FERRI 100MG INJECT. 5ML*,FERRI-100 INJECTION
POVIZTRA 1.7MG FLXT 1PC,POVIZTRA FLXT 1.7MG 3ML 1PC COPACK
ATOREC 20MG TAB - 10S,ATOREC 20 MG TABLET
CANZORB POWDER 100 1,CANZORB POWDER 100 GM
Xplode-Iso Tab 10S,XPLODE-ISO TABLET
ENHEMO 1000 INJ 10ML 1S,ENHEMO 1000 INJECTION 1x10ML
EX-DUO 50MG TAB 10S,EXDUO 50 TABLET 1x10T
EMLUZ CREAM 40 GM 40 gm(EM 40 gm,EMLUZ CREAM 1X40 GM
SAV-HF 100 10s,SAV HF 100 TABLET 6x10T
VINGRAF 0.25 CAP 1X10,VINGRAF 0.25 MG CAPSULE
ATOREC-80 TAB 10*TAB,ATOREC 80 MG TABLET
ACEGABA-ME 100MG TAB 1*10,ACEGABA ME 100 TABLET
DABITRA 110MG CAP 10S 10,DABITRA 110 CAPSULES
OROFER SY 150ML,OROFER SYRUP 150 ML
EMDYDRO TAB 1X30 10x30,EMDYDRO TABLET 1x30T
VYLDA OD 100 TABS 1X15 S,VYLDA OD 100 TABLETS
GONLIX TAB 200MG 10S,GONLIX 200 MG TABLET 10x10T
OSTERI INJ 750MG 1,OSTERI INJECTION 750 MCG PFS
FLAWLIZO MICRO 0.04% GEL 15G 1,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK
MVISTA CAPS 10S,MVISTA CAPSULES
EMILDAP GM2/100/1000 10,EMILDAP GM 10/2/1000 TABLET 10x10T
VITANOVA-D3 MG TAB 10,VITANOVA D3 SG CAPSULES
M NEM 500 INJ 1 VAIL,M-NEM 500 MG INJECTION
EMFOLIC TAB 110 110,EMFOLIC TABLET
SERTIVA TAB 10T,SERTIVA TABLET
EMTREO 5G INJ VIAL,EMTREO INJECTION 5g/vial -DOMESTIC
NUMLO D 5 TAB 10,NUMLO-D 5 TABLET
CISCURE-0.25 MG INJ 1 VIAL,CISCURE 0.25 MG INJECTION
DILPRA OD 750 1*10,DILPRA OD 750 TABLETS
BACTILEM 750MG 1VIAL,BACTILEM  750 MG INJECTION
GALOP LS TAB 10T,GALOP LS - 10 TABLET
S-NUMLO 2.5 TAB. 1X15,S-NUMLO 2.5 MG TABLET 1x15 T
MATERNA-HMG 75 I.U vial,MATERNA-HMG 75 I.U.
EMILDAP TRIO FORT TAB 10S,EMILDAP TRIO FORTE TABLET 1x10T
AMARYL MV1 (15S PACK),AMARYL MV 1MG TABLET 10x15T
SKIZOTUS 200 1*10,SKIZOTUS - 200 TABLETS
CLEXANE 40 INJ INJ,CLEXANE 40MG/0.4ML INJECTION
ACEGABA GRS 600 TAB 1*10,ACEGABA GRS 600 TABLET 10T
AMARYL 3MG TABLET 10X30T 30 T,AMARYL 3MG TABLET 10x30T
ATOREC GOLD 20 CAP 10,ATOREC GOLD 20  10X10 C
EMILDAP S 10/100 10,EMILDAP S 10/100 TABLET 1X10T
EMPRI 10MG 1*10TAB,EMPRI 10MG TABLET 10x10T
ATPURE D TABLET 10TABS,ATPURE D TABLET
CONSIVAS ASP CAP,CONSIVAS ASP CAPSULES
EMANZEN D OINTMENT 30*GM,EMANZEN D OINTMENT 30 GM
NUCARNIT INJ 5ML --,NUCARNIT INJECTION
FICO-SP TAB. 10S,FICO SP TABLET
GALOP PLUS 10 110 --,GALOP PLUS-10 TABLETS
ASOMEX 2.5MG TAB 15S-15s,ASOMEX 2.5 MG TABLET 1X15T
METPURE-AM-5MG-TAB,METPURE AM 5 TABLETS
Hosit Amp.,HOSIT INJECTION
EMLUZ LOTION 15ML 10X15ML,EMLUZ LOTION
FLAWLIZO ACNE CARE MOS 50GM --,FLAWLIZO ACNE CARE MOISTURISING GEL 50M
HOSIT XT STRIP OF 10 SOFTGEL CAPSULES,HOSIT-XT CAPSULES
FEMZACT CAPSULES 10 S,FEMZACT CAPSULE 3x10C
ZILARBI 80 MG TAB. 10 TAB,ZILARBI 80 TABLET
TEMSAN 80MG 15S,TEMSAN 80 MG TABLETS 10x15T
NUMLO-TM 2.5 10 S,NUMLO-TM TABLETS
CELOL D3 + TAB 10S(32036004) Strength,CELOL D3 + TABLETS
CARDIUM CAPSULES 1X10,CARDIUM CAPSULES
METPURE AM 5MG TAB. 10S,METPURE AM 5 TABLETS
ETS-200MG INJ. 4ML,ETS-200 INJECTION
TELSITE H TABS. 40+12.5MG,TELSITE H 40 TABLET 10x10T
GRAFTSOL SOLUTION 1000ML 100ML,GRAFTSOL SOLUTION 1000 ML
Atpure Sa Tab 10S,ATPURE SA TABLET
CARDACE PROTECT 2.5 --,CARDACE PROTECT 2.5 TABLET 10x10T
EMANZEN-D Tab 10 s,EMANZEN D TABLET
RAMIPRO 2.5 CAP 10CAP,RAMIPRO CAPS.2.50
CELOL-D3 CAP 110,CELOL - D 3 CAPSULES
TELSITE-AM 10/s,TELSITE AM TABLET 10x10T
TRAZUMAB 440MG INJE 1,TRAZUMAB INJECTION 440 MG
FEMZACT CAP 1X10,FEMZACT CAPSULE 3x10C
TEMSAN AM 5MG STRIP OF 15 TAB 15TAB,TEMSAN AM-5 TABLETS 1X15 T
FCMO 1K/20ML INJ 1,FCMO INJECTION 1k/20ML
CALONAT XT TAB 15T,CALONAT XT TABLET 10x15T
XILIA-M2 FORTE TAB 1X10 .,XILIA - M 2 FORTE TABLETS
LASIX 4ML INJ$ 4ML,LASIX 40 MG/4ML INJECTION
TORPIZA 25MG TABS 1*10TABS,TORPIZA 25 TABLET
SYLATE 250 MG,SYLATE TABLETS 250 MG 10
GALOP 10 MG TAB 10S,GALOP 10 MG TABLETS
CARDACE METO-2.5 MG TAB. 10S,CARDACE METO 2.5 TABLET 10x10T
TEMSAN-20 CV TAB 10*TAB,TEMSAN - 20 CV TABLETS
FORSMART-400 PULMOCAPS,FORSMART-400 PULMOCAPS
NUSAR 50 TAB 10S,NUSAR 50 MG TABLET
ENCICARB INJ 1000MG VIAL,ENCICARB INJECTION 1K  
ZILARBI -80 10TAB,ZILARBI 80 TABLET
LASIX INJ DPCO 1X4ML,LASIX 40 MG/4ML INJECTION
EMDIP 8 TAB 10;S,EMDIP-8 TABLETS
DENLAFAX 50TAB 1*10TA,DENLAFAX-50 TABLETS
NUMLO-TM 5 15S,NUMLO-TM 5 TABLETS 1X15 T
TEMSAN 20MG TAB. 1*10,TEMSAN 20 MG. TABLETS
XGRAST INJ 300MG PFS 1S,XGRAST 300 MCG INJ 1 PFS
BACTICURE-750 MG 1,BACTICURE - 750 MG INJECTION
EMCORIL DX SYRUP 100 ML,EMCORIL DX SYRUP 100 ML
GRAFTSOL 1000ML SOLUTION 1*,GRAFTSOL SOLUTION 1000 ML
CONSIVAS 10MG 10T STRIP,CONSIVAS 10 MG TABLET 10X10
METPURE XL 12.5 MG. 10S,METPURE XL 12.5 TABLET
LIF- TAZ 1000MG INJ VAIL,LIFTAZ 1.0 GM INJECTION
ASOMEX AT 5 TAB 1 *10,ASOMEX AT 5 MG TABLET
CORDARONE X TAB 115,CORDARONE X 200 MG TABLET 10x15T
EXAFIB-10 TAB. 14s,EXAFIB 10 TABLET
CARDACE 1.25MG 15.S 1,CARDACE 1.25 MG TABLET 10x15T
TEMSAN BS 40/2.5 TAB 10 T,TEMSAN BS 2.5/40 TABLET 10x10T
CETAPIN-XR-1000 15S,CETAPIN XR 1000MG TABLET 10x15T
EMILDAP GM 10/2/1000 10 TA,EMILDAP GM 10/2/1000 TABLET 10x10T
GALOP FX 5 TAB,GALOP FX 5 TABLET
GOLNIX 200 TAB. 1X10,GONLIX 200 MG TABLET 10x10T
UNMET TABLET 10x10T 10 T,UNMET TABLET 10x10T
PAUSE MF TABLET ABLET,PAUSE MF TABLET
EXAFIB 2.5 TAB 14S --,EXAFIB 2.5 TABLETS
OROFER S 2.5 2.5ML,OROFER S INJECTION 2.5 ML
DENLAFAX-50 10 tab,DENLAFAX-50 TABLETS
AQUAOAT MOISTURISING LOTION 250ML,AQUAOAT MOISTURIZING LOTION 250ML
SEVCAR 800MG TAB 10 S,SEVCAR-800 TABLETS
Stabose 0.2 Tab 10S,STABOSE - 0.2 TABLET
PIOGLU 15 TAB 1X10,PIOGLU-15
OROFER S INJ. 1*5ML.,OROFER S 100 INJECTION
OROFER XT + SYP 1100ML,OROFER XT + SUSPENSION 200 ML
ZORDIL-4 4,ZORDIL 4 TABLET
NUSAR AM-5 TAB.,NUSAR AM 5 MG TABLET
CELOL XT+ TAB UNSURE,CELOL XT + TABLETS
FLOFRE 10 TAB 1X10,FLOFRE 10 TABLETS
Atorec Ez Tab. 10S,ATOREC EZ TABLET
S NUMLO 0.5MG TAB 10S,S-NUMLO 1.25 MG TABLET
EMGLOBULIN INJECTION -,EMGLOBULIN INJECTION
FERIUM XT TABLETS 15 S,FERIUM XT TABLET 10x15T
CALONAT D3TAB 15S --,CALONAT - D 3 TABLETS
LIFTAZ 250 INJ VAIL,LIFTAZ 250 MG INJECTION
TEMSAN CT-6.25 TABLETS,TEMSAN CT-6.25 TABLETS
CARDIUM CAP 1*10CAP,CARDIUM CAPSULES
ATOREC-20 D3 1X10,ATOREC - 20 D 3 TABLETS
CLEXANE INJ.60MG 2X60MG,CLEXANE 60MG/0.6ML INJECTION
EPITRIL BETA 0.5MG TAB 10TAB,EPITRIL BETA 0.5 TABLETS
ZILARBI CN 10MG 15,ZILARBI CN 10 TABLETS 1x15 T
CEASTRA 100 CAP 10S,CEASTRA 100 CAPSULES 10X10C
MIGITUS 10MG. 1X10,MIGITUS 10 TABLET
ACEGABA 100 MG CAP 1 * 10,ACEGABA 100 CAPSULE
S NUMLO 5 MG TAB 10TAB,S-NUMLO 5 MG TABLET
OROFER XT 1*10TAB,OROFER XT TABLET
C LET 1 GM 1 VIAL,C - LET 1.0 GM INJECTION
HOSIT INJ 1ml(OT1815) 1ml,HOSIT INJECTION
LACTACYD SYRUP 100ML,LACTACYD  1X100 ML
FERIUM-1 K INJ 20ML,FERIUM INJECTION 1K (1GM/20ML)
AMARYL 3MG TAB 30S(21989 ) 0,AMARYL 3MG TABLET 10x30T
EPITRIL-0.25 (NX) 10S,EPITRIL 0.25 MG TABLET
TEMSAN BS 40/5 TAB 110TAB,TEMSAN BS 5/40 TABLET 10x10T
IMINORAL-50 CAP 10s,IMINORAL - 50 CAPSULES
TICAPLAT 90 MG,TICAPLAT 90 TABLETS 6X10 T
DAPAGZA M 10/500MG TAB 10S 10S,DAPAGZA M 10/ 500 1X10T
IBUSOFT 400MG 1*10TAB,IBUSOFT 400 MG. TABLET
OROFER FCM 1000MG PIC,OROFER FCM  INJECTION 1K
Orofer Syp,OROFER SYRUP 150 ML
RIFACLEAN 400 TAB --,RIFACLEAN  400 TABLET
S-NUMLO-5 1X10,S-NUMLO 5 MG TABLET
ATOREC 10MG TABLET 10 S,ATOREC 10 MG TABLET
PROXYM ER 200 TAB. 10.,PROXYM ER 200 TABLETS
EMSITA M 50/500 1X10T 10 T,EMSITA M 50/500 1X10T
OROFER XT SYP --,OROFER XT SUSPENSION 150 ML
TICAPLAT-60 TAB,TICAPLAT 60 TABLET
LOBACOR 5MG TAB 1*10,LOBACOR 5 TABLET
EMSITA D50/5 10S,EMSITA D 50/5 TABLET 1X10T
PREGANZA 50 CAP 10S,PREGANZA 50  CAPSULES
"TELSITE 20MG 15 S10001305 15 ""S",TELSITE 20 MG TABLET 10x15T
