Input_Column,Positive_Product,Positive_Product_Code,Positive_Rank,Positive_Score,Top1_Product,Top1_Score,Top10_Contains_Positive,Excel_Row
GALACT GRANULES.ELACHI FLAVOUR- BIG SIZE BIG SIZE,GALACT GRANULES 10GM ELAICHI,421112986,1,0.8535,GALACT GRANULES 10GM ELAICHI,0.8535,True,706
ERIBULIN 0.5MG/ML INJ EMBREMMA VIAL,EMMDARA INJECTION 50MG/2ML,421112598,1,0.7834,EMMDARA INJECTION 50MG/2ML,0.7834,True,708
S NUMLO 5MG TAB. 20X15,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.9051,S-NUMLO 2.5 MG TABLET 1x15 T,0.9061,True,712
OSTERI INJ600 MCG+ NEEDLS 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,2,0.7573,OSTERI INJECTION 750 MCG PFS,0.7597,True,714
GALACT GRANULES CHOCOLATE FLV 200GM 1X200GM,GALACT GRANULES CHOCOLATE,421112647,3,0.8790,GALACT GRANULES 600GM CHOCOLATE,0.9057,True,716
OSTERI INJ.600MCG / 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8872,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8872,True,721
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,2,0.8290,NUCORIL 5 MG TAB 20,0.8357,True,725
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,2,0.7834,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.7866,True,726
NUCORIL-5MG-30TAB(COLD CHAINE)30TAB,NUCORIL - 5 TABLETS 1X30 T,424440492,2,0.8290,NUCORIL 5 MG TAB 20,0.8357,True,728
POVIZTRA-2.4ML INJ(COLD NO RETURN)1VIAL,POVIZTRA FLXT 2.4MG 3ML 1PC COPACK,420008829,2,0.7834,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.7866,True,729
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.7687,VONADAY 600/300/300 MG TABLET 30s,0.7687,True,732
OROFER S INJ.5ML,OROFER S 100 INJECTION,421111537,3,0.8006,OROFER S INJECTION 2.5 ML,0.8765,True,733
VONADAY TABS 1X30,VONADAY 600/300/300 MG TABLET 30s,424440875,1,0.7687,VONADAY 600/300/300 MG TABLET 30s,0.7687,True,735
AMARYL M F/TE 1MG,AMARYL M FORTE 1MG TABLET 10x15T,421113132,5,0.7666,AMARYL M 1MG TABLET 8x20T,0.7934,True,740
VYLDA-DM100/10/5,VYLDA DM 100/10/500 TABLET 1x10T,421112888,4,0.8023,VYLDA DM 100/5/1000 TABLET 1x10T,0.8132,True,742
GALACT LACTATION GRANULES ELA 400GM --,GALACT GRANULES 400GM ELAICHI,421113094,1,0.9123,GALACT GRANULES 400GM ELAICHI,0.9123,True,745
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7746,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7746,True,751
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8857,EMPRI L 10/5MG TABLET 10x10T,0.8857,True,753
OSTERI INJ. 600 1X1,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7746,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7746,True,759
EMPRI L 10/5 M 1X10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8857,EMPRI L 10/5MG TABLET 10x10T,0.8857,True,761
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,4,0.8564,VYLDA DM 100/5/1000 TABLET 1x10T,0.8614,True,765
TEMSAN 20 MG TAB F35 15,TEMSAN 20 MG TABLETS 10x15T,424441698,2,0.8454,TEMSAN 20 MG. TABLETS,0.8701,True,766
OROFER XT TAB (15) 10X15,OROFER XT TABLET 1x15T,424442006,1,0.8860,OROFER XT TABLET 1x15T,0.8860,True,768
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8776,GALACT GRANULES 400GM ELAICHI,0.8776,True,775
LASIX 40MG 11510,LASIX 40 MG TABLET 80x15T,421112913,2,0.8008,LASIX 40 MG/4ML INJECTION,0.8449,True,776
MATERNA HCG 10000 I.U 1s,MATERNA-HCG 10000 IU HP,491110367,1,0.9324,MATERNA-HCG 10000 IU HP,0.9324,True,782
AMARYL M1FORTE 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,2,0.7252,AMARYL MV 1MG TABLET 10x15T,0.7265,True,784
ASOMEX 1.25mg TAB 15 sEMC449 15 s,ASOMEX 1.25 TABLETS 1X15T,424440754,0,,ASOMEX 1.25 MG TABLET,0.8944,False,788
ENCICARB 1K INJ 1 VIALEMC60 1 VIAL,ENCICARB INJECTION 100MG/2ML,422220078,2,0.7724,ENCICARB INJECTION 1K,0.8358,True,789
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,4,0.9017,ASOMEX AT 2.5 MG TABLET 1X15T,0.9163,True,790
XGRAST 300MCG INJ 1 PFS 1 PFS,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.9579,XGRAST 300 MCG INJ 1 PFS,0.9579,True,794
SNUMLO 5 Mg 20BOX 15*2tab,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.8604,S-NUMLO 2.5 MG TABLET 1x15 T,0.8623,True,798
"FERIUM XT.TAB. 15""S",FERIUM XT TABLET 10x15T,424441955,2,0.8341,FERIUM XT TABLET,0.8627,True,799
"S-NUMLO 2.5MG 15""S",S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.9153,S-NUMLO 2.5 MG TABLET 1x15 T,0.9153,True,803
"EMLEVO -500 15""S",EMLEVO 500 TABLET 1 X 15 T,421113002,1,0.8053,EMLEVO 500 TABLET 1 X 15 T,0.8053,True,807
ASOMEX 2.5 MG 1X15AB Pcs,ASOMEX 2.5 MG TABLET 1X15T,424441736,3,0.8804,ASOMEX AT 2.5 MG TABLET 1X15T,0.9058,True,809
OSTERI INJ 600MG PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.7890,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.7890,True,812
CORDARONE 100X20X15 20 20,CORDARONE X 200 MG TABLET 10x15T,421112910,2,0.7973,CORDARONE 100 MG TABLET 20x15T,0.8366,True,822
CORDARONE TAB 200MG 15 S,CORDARONE X 200 MG TABLET 10x15T,421112910,1,0.8466,CORDARONE X 200 MG TABLET 10x15T,0.8466,True,823
GALOP PLUS 5X1X10 1*10,GALOP PLUS-5 TABLETS,421111957,3,0.7122,GALOP PLUS-10 TABLETS,0.7312,True,826
H)CARDACE 5MG 15S,CARDACE 5 MG TABLET 10x15T,421112893,1,0.8306,CARDACE 5 MG TABLET 10x15T,0.8306,True,836
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,837
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,838
ROSUVAS-EZ 10 TAB 110S 27553 10S,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,3,0.7859,ROSUVAS EZ-10 TABLETS,0.8143,True,842
MESALACURE TABLET 1.2GM NEW MRP Pcs.,MESALACURE TABLET  1.2GM,424440981,1,0.8871,MESALACURE TABLET  1.2GM,0.8871,True,853
OROFER XT 200M 200,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8561,OROFER XT + SUSPENSION 200 ML,0.8561,True,856
PROXYM ER300 TAB,PROXYM ER 200 TABLETS,424441015,2,0.8195,PROXYM ER 200 TABLETS 15 T,0.8276,True,858
OSTERI INJ.600MCG PENNET30 1 UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8315,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8315,True,861
VYLDA OD 10 TAB,VYLDA OD 50 TABLET 1X15T,421112490,0,,VYLDA TABLET,0.8341,False,863
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.7023,LOBACOR 10 TABLET,0.7567,True,864
ROSUVAS EZ 20 TAB-10STAB,ROSUVAS EZ 20 MG TABLET 1x10T,421112688,2,0.8430,ROSUVAS EZ-10 TABLETS,0.8460,True,865
FERIUM CHEWABLE TABLET10-10 T,FERIUM CHEWABLE TABLETS 10X10 T,420000222,2,0.9158,FERIUM 50 CHEWABLE TABLET 10,0.9579,True,867
AMARYL.M.2MG.TAB 1*20,AMARYL 2MG TABLET 15x30T,421113128,3,0.8109,AMARYL M 2MG TABLET 8x20T,0.8326,True,873
OROFER FCM INJEMCURE VIAL,OROFER FCM  INJECTION 500MG/10ML,421111114,3,0.8093,OROFER FCM  INJECTION 1K,0.8245,True,880
S NUMLO 5 4515,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.6972,S-NUMLO 5 MG TABLET,0.7190,True,894
DAONIL--M 10 15,DAONIL M TABLETS 1X15 T,421111961,1,0.8101,DAONIL M TABLETS 1X15 T,0.8101,True,901
OROFER XT  200ML SYP 1 1,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8528,OROFER XT + SUSPENSION 200 ML,0.8528,True,902
LASIX-40MG DPCO,LASIX 40 MG TABLET 80x15T,421112913,2,0.7780,LASIX 40 MG/4ML INJECTION,0.8416,True,903
NUMLO -AT TAB 10X15 15 TAB,NUMLO-AT TABLET 1X15 T,424441936,1,0.8722,NUMLO-AT TABLET 1X15 T,0.8722,True,912
S-NUMLO- 5 MG TAB 20X15 15 TAB,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.9070,S-NUMLO 2.5 MG TABLET 1x15 T,0.9097,True,914
TEMSAN - 20 TAB 10X15 15 TAB,TEMSAN 20 MG TABLETS 10x15T,424441698,4,0.8532,TEMSAN LN TABLET 10x15T,0.8952,True,915
TEMSAN - 80-H TAB 10X15 15 TAB,TEMSAN 80 H TABLETS 1X15T,424441192,2,0.8620,TEMSAN LN TABLET 10x15T,0.8902,True,918
ASOMEX - 2.5 MG TAB 20X15 15 TAB,ASOMEX 2.5 MG TABLET 1X15T,424441736,2,0.9018,ASOMEX AT 2.5 MG TABLET 1X15T,0.9207,True,921
ASOMEX - 5 MG TAB20X15 15 TAB,ASOMEX 5 MG TABLET 1x15T,424441737,4,0.8966,ASOMEX AT 5 MG TABLET 1X15T,0.9202,True,922
ASOMEX - D TAB10X15 15 TAB,ASOMEX D TABLET 1x15T,424440759,1,0.8385,ASOMEX D TABLET 1x15T,0.8385,True,923
ASOMEX -TM -5 TAB10X15 15 TAB,ASOMEX - TM 5 TABLETS 1X15T,421111383,1,0.8375,ASOMEX - TM 5 TABLETS 1X15T,0.8375,True,926
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,6,0.8155,EPITRIL MD 0.25 MG TABLET 10X10T,0.8662,True,931
FULVIRA INJ2X5ML 2X5ML,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,1,0.8812,FULVIRA 250 MG INJ 2X5 ML PFS,0.8812,True,932
OSTERI INJ NEEDLEFREE 1PCS,OSTERI INJECTION NEEDLES,421111705,1,0.8053,OSTERI INJECTION NEEDLES,0.8053,True,936
OROFER XT DROPSH.S 15ML PCS,OROFER XT DROPS,424441717,2,0.8258,OROFER DROPS 15 ML,0.8414,True,943
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,4,0.7834,OROFER XT TABLET 1X30 T,0.8089,True,944
OROFER FCM INJ 1K 10ML 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.8822,OROFER FCM  INJECTION 1K,0.8822,True,949
NUCORIL 5 TAB 1s,NUCORIL - 5 TABLETS 1X10 T,424441444,1,0.8130,NUCORIL - 5 TABLETS 1X10 T,0.8130,True,951
EMPRI L TAB 10 TAB,EMPRI L 10/5MG TABLET 10x10T,421113069,1,0.8172,EMPRI L 10/5MG TABLET 10x10T,0.8172,True,960
TEMSAN-80 H TAB 15*10,TEMSAN 80 H TABLETS 1X15T,424441192,2,0.8228,TEMSAN LN TABLET 10x15T,0.8265,True,962
ATOREC-10 TAB D 1X10TAB,ATOREC 10 MG TABLET,424441079,2,0.8116,ATOREC F 10/160 MG TABLET 10X10,0.8615,True,975
EMSITA M SR 100/1000 1X10TAB,EMSITA M SR 100/1000 1X10T,421112596,1,0.9600,EMSITA M SR 100/1000 1X10T,0.9600,True,976
OSTERI INJ 600 MC,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8657,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8657,True,977
MATERNA HMG HP 1200IU 1 VIAL,MATERNA HMG HP 1200 IU/4ML MD,421112530,1,0.8946,MATERNA HMG HP 1200 IU/4ML MD,0.8946,True,979
XGRAST INJ 300MCG 1 1 VIAL,XGRAST 300 MCG INJ 1 PFS,492220092,1,0.8393,XGRAST 300 MCG INJ 1 PFS,0.8393,True,980
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8814,PROXYM ER 200 TABLETS 15 T,0.8814,True,984
PROXYM ER-300 TAB 15;S,PROXYM ER 200 TABLETS 15 T,424441863,1,0.8814,PROXYM ER 200 TABLETS 15 T,0.8814,True,986
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.7023,LOBACOR 10 TABLET,0.7567,True,990
LOBACOR 510T 10T,LOBACOR 5 TABLET,421112056,2,0.7023,LOBACOR 10 TABLET,0.7567,True,991
GALACT LACTATION GRANULES CHOCOLATE 400GM,GALACT GRANULES 400 GM CHOCOLATE,421112876,1,0.9285,GALACT GRANULES 400 GM CHOCOLATE,0.9285,True,992
VYLDA-DM100/1000/11X10TAB,VYLDA DM 100/5/1000 TABLET 1x10T,421112639,2,0.8746,VYLDA DM 100/10/1000 TABLET 1x10T,0.8774,True,995
PROXYM ER 300 TAB 1X15PRT 1X15,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8469,PROXYM ER TABLET 1X15T,0.9002,True,1007
SYLATE T 500MG TAB. 1X10 EE179 1*10,SYLATE T 500 TABLET,421110143,5,0.7876,SYLATE TABLET 500 MG,0.8495,True,1011
EPITRIL.25 TAB 1X10TAB,EPITRIL 0.25 MG TABLET,424441023,6,0.8155,EPITRIL MD 0.25 MG TABLET 10X10T,0.8662,True,1015
NUMLO TM 5 TAB15NOS 15 NOS,NUMLO-TM 5 TABLETS 1X15 T,421112128,2,0.8193,NUMLO-AT TABLET 1X15 T,0.8233,True,1017
COGNITRAC 60MG INJ 60MG 1X60MG,COGNITRAC L INJECTION,421112018,2,0.7720,COGNITRAC INJECTION 60 MG,0.8771,True,1026
EPITRIL.25MG TAB 1X10,EPITRIL 0.25 MG TABLET,424441023,2,0.8970,EPITRIL MD 0.25 MG TABLET 10X10T,0.9171,True,1031
EFNOCAR MX 40/25 T 10T,EFNOCAR-T 40/40  TABLET,427770323,3,0.7681,EFNOCAR-MX 40/25 TABLETS,0.7980,True,1035
GALACT GRANULE ELAICHI,GALACT GRANULES 10GM ELAICHI,421112986,4,0.8824,GALACT GRANULE 200 GM ELAICHI,0.9130,True,1036
POVIZTRA FLXT .25MG 1PC,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,420008825,1,0.9309,POVIZTRA FLXT 0.25MG 1.5ML 1PC COPACK,0.9309,True,1044
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,4,0.6888,AMARYL 1MG TABLET 10x30T,0.6999,True,1045
AMARYL M F 10,AMARYL M FORTE 1MG TABLET 10x15T,421113132,4,0.6888,AMARYL 1MG TABLET 10x30T,0.6999,True,1046
TEMSAN H 40/12.5 15 S,TEMSAN H TABLETS 1X15 T,424441191,1,0.8147,TEMSAN H TABLETS 1X15 T,0.8147,True,1057
XILIA-M2FORTE 10 S,XILIA - M 2 FORTE TABLETS,421110949,1,0.7678,XILIA - M 2 FORTE TABLETS,0.7678,True,1058
TEMSAN 80MG TAB 10X15EMC030 10*15,TEMSAN 80 MG TABLETS 10x15T,424441700,1,0.9123,TEMSAN 80 MG TABLETS 10x15T,0.9123,True,1062
S-NUMLO 5 20X15EMC082 20*15,S-NUMLO 5 MG TABLET 1x15 T,424441204,2,0.7230,S-NUMLO 2.5 MG TABLET 1x15 T,0.7302,True,1066
VYLDA 50 2X15EMC198 2 *15,VYLDA TABLETS 1X15 T,424441803,1,0.7942,VYLDA TABLETS 1X15 T,0.7942,True,1077
TEMSAN CT 40/6.25 10*10S,TEMSAN CT-6.25 TABLETS,421111887,2,0.8114,TEMSAN CT 40/12.5 MG TABLET 10X10,0.8294,True,1081
OSTERI INJ 600 PEN 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8181,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8181,True,1084
OROFER CAP 15S,OROFER S INJECTION 2.5 ML,421111536,5,0.7024,OROFER DROPS 15 ML,0.7914,True,1085
LAZID TAB60 60 Pcs,LAZID TABLETS,491110216,5,0.6867,LAZID 150/300 MG TABLET 60s,0.8581,True,1087
EMCUREXENNEX GALACT GRANULES 400GM 1X40,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8776,GALACT GRANULES 400GM ELAICHI,0.8776,True,1093
GALACT POW 400GM 1X400G,GALACT GRANULES 400GM ELAICHI,421113094,1,0.8101,GALACT GRANULES 400GM ELAICHI,0.8101,True,1096
FERIUM 1 K INJ.,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.8494,FERIUM INJECTION 1K (1GM/20ML),0.8494,True,1099
TAPIC EM 4.5 GM INJECTION,TAPICEM 4.5 GM INJECTION,421112178,1,0.9304,TAPICEM 4.5 GM INJECTION,0.9304,True,1104
CARDACE 1.255X2X15 10 S,CARDACE 1.25 MG TABLET 10x15T,421112890,1,0.8356,CARDACE 1.25 MG TABLET 10x15T,0.8356,True,1105
CARDACE AM 55X2X15BOX 10 S,CARDACE AM 5 TABLET 10x15T,421112896,2,0.8113,CARDACE AM 2.5 TABLET 10x15T,0.8126,True,1106
TEMSAN 20 MG TAB 10X15T,TEMSAN 20 MG TABLETS 10x15T,424441698,1,0.9483,TEMSAN 20 MG TABLETS 10x15T,0.9483,True,1107
CONSIUM 100 INJ UNSURE,CONSIUM 100(CARMUSTINE FOR INJ.),490310001,2,0.7907,DILUENT FOR CONSIUM 100 INJ,0.8612,True,1111
ASOMEX-TM510X1515 S,ASOMEX - TM 5 TABLETS 1X15T,421111383,2,0.7601,ASOMEX - TM TABLETS 1X15T,0.7648,True,1122
OROFER XT5X1515 S,OROFER XT TABLET 1x15T,424442006,1,0.8051,OROFER XT TABLET 1x15T,0.8051,True,1125
PROXYM ER30010X1515 S,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8271,PROXYM ER TABLET 1X15T,0.8453,True,1127
ASOMEX 1.25MG TAB 1X15S,ASOMEX 1.25 TABLETS 1X15T,424440754,4,0.9017,ASOMEX AT 2.5 MG TABLET 1X15T,0.9163,True,1145
SYLATE-T 500MG TAB 10 T,SYLATE T 500 TABLET,421110143,4,0.8311,SYLATE TABLET 500 MG,0.8840,True,1147
OROFER XT BOX,OROFER XT TABLET,424441704,1,0.8343,OROFER XT TABLET,0.8343,True,1150
TEMSAN-80 TAB 115(1015)BOX,TEMSAN 80 MG TABLETS 10x15T,424441700,0,,TEMSAN BS 5/40 TABLET 10x10T,0.7612,False,1151
OROFER XT PLUSSYP 200ML.,OROFER XT + SUSPENSION 200 ML,424441225,1,0.8818,OROFER XT + SUSPENSION 200 ML,0.8818,True,1156
CISCURE VIAL. 1X1,CISCURE 0.25 MG INJECTION,421110589,1,0.7658,CISCURE 0.25 MG INJECTION,0.7658,True,1163
A-BEC 300MG 30TAB,A-BEC TABLET 60T,424441967,3,0.7647,A BEC 300 MG TABLET 30s,0.8782,True,1177
SYLATE- T 500MG TAB 1*10,SYLATE T 500 TABLET,421110143,5,0.8216,SYLATE TABLET 500 MG,0.8853,True,1183
VYLDA DM 100/500 1X10,VYLDA DM 100/5/500 TABLET 1x10T,421112638,4,0.8564,VYLDA DM 100/5/1000 TABLET 1x10T,0.8614,True,1186
LAZID TAB 1X60 60,LAZID TABLETS,491110216,5,0.7329,LAZID N TABLET 1x60 T,0.9297,True,1189
SYLATE-T 500MG TAB 10 S 1s,SYLATE T 500 TABLET,421110143,4,0.8257,SYLATE TABLET 500 MG,0.8747,True,1190
ASOMEX AT 2.5MG TAB 15 S 1s,ASOMEX AT 2.5 MG TABLET 1X15T,424441921,1,0.9206,ASOMEX AT 2.5 MG TABLET 1X15T,0.9206,True,1193
TEMSAN 20MG TAB 15 S 1s,TEMSAN 20 MG TABLETS 10x15T,424441698,2,0.8548,TEMSAN 20 MG. TABLETS,0.8616,True,1199
NUMLO-D 5MG. TAB. 15S,NUMLO-D 5 TABLET,424440017,8,0.7865,NUMLO TABLET 2.5 MG,0.8624,True,1206
SYLATE T 500MG 1X10S T PCS,SYLATE T 500 TABLET,421110143,5,0.7995,SYLATE TABLET 500 MG,0.8613,True,1217
S NUMLO 2.5 TAB 10X15,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.7846,S-NUMLO 2.5 MG TABLET 1x15 T,0.7846,True,1220
S.NUMLO 2.5 TAB 1X1 1X15TAB,S-NUMLO 2.5 MG TABLET 1x15 T,424441203,1,0.8041,S-NUMLO 2.5 MG TABLET 1x15 T,0.8041,True,1231
DAPAGZA M 10/1000 \*10 TA,DAPAGZA M10/1000 1X10T,421112563,3,0.8701,DAPAGZA M 5/1000 1X10T,0.8883,True,1235
TEMSAN CT 40/6.25 10,TEMSAN CT-6.25 TABLETS,421111887,1,0.8282,TEMSAN CT-6.25 TABLETS,0.8282,True,1239
ASOMEX D 5 TAB 1515 S,ASOMEX D 5 TABLET 1x15T,424440760,4,0.8158,ASOMEX D 5 TABLET,0.8548,True,1240
OSTERI 600MCJ INJ 2.4ML,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8781,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8781,True,1245
TEMSANH 1*15,TEMSAN H TABLETS 1X15 T,424441191,1,0.7938,TEMSAN H TABLETS 1X15 T,0.7938,True,1247
OSTERI INJ.600 MCG 2.4 ML PEN,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8230,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8230,True,1249
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,1260
ASOMEX LT 2.5+50 TAB 15S,ASOMEX LT TABLET 1X15T,424440761,2,0.7949,ASOMEX R TABLET,0.8010,True,1261
HOSIT FCM 750MG.INJ 15ML,HOSIT FCM INJECTION 750MG/15ML,421112708,1,0.9170,HOSIT FCM INJECTION 750MG/15ML,0.9170,True,1271
FITJOINT TABS 10S,FITJOINT CAPSULES,421112131,2,0.7425,FITJOINT GM TABLETS,0.7980,True,1276
ENCICARB INJ 1 K,ENCICARB INJECTION 1K,422220233,1,0.8902,ENCICARB INJECTION 1K,0.8902,True,1279
PROXYM ER300MGTAB 1X15T,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8345,PROXYM ER TABLET 1X15T,0.8748,True,1280
ACEGABA 100 MG 10X15,ACEGABA 100 CAPSULE 1 X 15 C,424442056,1,0.8548,ACEGABA 100 CAPSULE 1 X 15 C,0.8548,True,1281
PROXYM ER 300 MG 1*15,PROXYM ER 200 TABLETS 15 T,424441863,2,0.8163,PROXYM GEL 30 GM,0.8441,True,1288
FERIUM 1K INJ 1VAIL,FERIUM INJECTION 1K (1GM/20ML),421111885,1,0.8429,FERIUM INJECTION 1K (1GM/20ML),0.8429,True,1289
OROFER-S- INJ 10 ML 1*10ML,OROFER S 200 INJECTION 10 ML,421111388,1,0.8592,OROFER S 200 INJECTION 10 ML,0.8592,True,1296
ASOMEX LT 2.5MG TAB 1X15TA,ASOMEX LT TABLET 1X15T,424440761,0,,ASOMEX AT 2.5 MG TABLET 1X15T,0.9334,False,1297
FLAWLIZO MICRO0.04 PU 15GM,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,421113049,1,0.7765,FLAWLIZO MICRO 0.04% GEL 15GM TUBE PACK,0.7765,True,1302
NUMLOM 5 TAB,NUMLO TABLET 2.5 MG,420000458,0,,NUMLO-TM 5 TABLETS,0.7947,False,1306
OSTERI INJ.600MCG /2.4MLPEN 1S,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,1,0.8836,OSTERI INJ.600MCG /2.4MLPEN DEVICE,0.8836,True,1308
FLAWLIZO MICRO 0.04PUMP PACK 15GM,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,421113085,1,0.9009,FLAWLIZO MICRO 0.04% GEL 15GM PUMP PACK,0.9009,True,1313
TEMSAN-20 10X15,TEMSAN 20 MG TABLETS 10x15T,424441698,2,0.8294,TEMSAN LN TABLET 10x15T,0.8400,True,1320
OROFER FCM 1K INJ 1X10ML,OROFER FCM  INJECTION 1K,421111805,1,0.8966,OROFER FCM  INJECTION 1K,0.8966,True,1321
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8335,TEMSAN BS 2.5/40 TABLET 10x10T,0.8355,True,1324
TEMSAN BS 40/2. 1X10 PCS,TEMSAN BS 5/40 TABLET 10x10T,421112703,2,0.8335,TEMSAN BS 2.5/40 TABLET 10x10T,0.8355,True,1328
CONSIVAS F TAB. 10S STR,CONSIVAS-F TABLETS,421111971,2,0.7373,CONSIVAS-F10/160 TABLETS,0.7683,True,1333
OROFER-XT SY. 1X200,OROFER XT + SUSPENSION 200 ML,424441225,4,0.7834,OROFER XT TABLET 1X30 T,0.8089,True,1334
VYLDA D / TAB S,VYLDA D100/5 TABLET 1X10T,421112572,10,0.7627,VYLDA TABLET,0.8621,True,1340
VYLDA OD TAB S,VYLDA OD 50 TABLET 1X15T,421112490,3,0.7745,VYLDA TABLET,0.8428,True,1341
EMILDAP 10 TAB 15 S(EMI1T) 15 S,EMILDAP S 10/100 TABLET 1X10T,421112866,6,0.7911,EMILDAP 10 TABLET 1X15T,0.8250,True,1345
ASOMEX 2.5MG TAB. 15S(ASO25T) 15S,ASOMEX 1.25 TABLETS 1X15T,424440754,0,,ASOMEX AT 2.5 MG TABLET 1X15T,0.8999,False,1351
OSTERI INJ 1UNIT(OSTI) 1UNIT,OSTERI INJ.600MCG /2.4MLPEN DEVICE,421112507,2,0.6915,OSTERI INJECTION 750 MCG PFS,0.7022,True,1354
CARDACE 2.50X10 15S,CARDACE 2.5 MG TABLET 10x15T,421112892,3,0.8420,CARDACE H 2.5 TABLET 10x15T,0.8570,True,1356
FULVIRA INJECTION 2X5ML PF 1X1,FULVIRA 250 MG INJ 2X5 ML PFS,421112211,2,0.8888,FULVIRA INJECTION 1X5 ML PFS,0.9585,True,1364
EMTOFA 2% OINTMENT,EMTOFA OINTMENT 15GM,421113091,4,0.8661,EMTOFA OINTMENT 20 GM,0.8847,True,1365
OLANEX F TAB 10S/15S 10S/15S,OLANEX  F TABLETS 1 x 15 T,424442062,2,0.8456,OLANEX  F TABLETS,0.8460,True,1367
PROXYM 300ER 15S,PROXYM ER TABLET 1X15T,424441862,3,0.7716,PROXYM ER 200 TABLETS 15 T,0.8193,True,1371
